The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92708        -36.26         0.0488         62.67          0.44384        119.3          0.86805        -32.08         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
103       1730      5551      0.14458        -20.29553      0.86472        -32.1066       
104       1903      5551      0.14506        -35.20776      0.86483        -32.04723      
105       2076      5551      0.14733        -49.9026       0.86513        -31.99512      
106       2249      5551      0.15142        -64.21287      0.86555        -31.95132      
107       2422      5551      0.1566         -77.98874      0.86606        -31.91655      
108       2595      5551      0.16272        -91.13647      0.86662        -31.89036      
109       2768      5551      0.16969        -103.77437     0.8672         -31.87165      
110       2941      5551      0.17669        -115.8845      0.8678         -31.86041      
111       3114      5551      0.18321        -127.49011     0.8684         -31.85622      
112       3287      5551      0.18928        -138.64564     0.86898        -31.85814      
113       3460      5551      0.19519        -149.65511     0.86955        -31.86555      
114       3633      5551      0.20011        -160.42322     0.8701         -31.87879      
115       3806      5551      0.20435        -170.92434     0.87061        -31.89712      
116       3979      5551      0.20722        178.77656      0.87108        -31.92093      
117       4152      5551      0.20882        168.47726      0.8715         -31.95044      
118       4325      5551      0.20906        158.29834      0.87185        -31.98513      
119       4498      5551      0.20822        148.0351       0.87212        -32.02525      
120       4671      5551      0.20636        137.68708      0.87229        -32.07039      
121       4844      5551      0.203          127.2111       0.87232        -32.11994      
122       5017      5551      0.19866        116.57337      0.87218        -32.17223      
123       5190      5551      0.19357        105.82243      0.87187        -32.22447      
124       5363      5551      0.18733        94.66846       0.87133        -32.27399      
125       5536      5551      0.18064        83.25159       0.87058        -32.31538      
126       5709      5551      0.17338        71.28647       0.86963        -32.34379      
127       5882      5551      0.16602        58.8345        0.86856        -32.3539       
128       0         5680      0.24388        107.75112      0.87307        -32.23489      
129       147       5680      0.23893        98.14348       0.87265        -32.29525      
130       294       5680      0.23308        88.30052       0.87199        -32.35245      
131       441       5680      0.22736        78.18629       0.87109        -32.40231      
132       588       5680      0.2213         67.8895        0.86998        -32.43783      
133       735       5680      0.21506        57.39868       0.86871        -32.45353      
134       882       5680      0.20928        46.56024       0.86739        -32.44703      
135       1029      5680      0.2032         35.4267        0.86615        -32.41552      
136       1176      5680      0.19821        24.02293       0.86509        -32.36481      
137       1323      5680      0.19451        12.38581       0.86429        -32.3005       
138       1470      5680      0.19114        0.51164        0.8638         -32.22785      
139       1617      5680      0.18922        -11.57517      0.86359        -32.15423      
140       1764      5680      0.18811        -23.64979      0.86365        -32.08516      
141       1911      5680      0.1888         -35.67884      0.86388        -32.02317      
142       2058      5680      0.19072        -47.74989      0.86426        -31.96892      
143       2205      5680      0.19345        -59.51254      0.86475        -31.92438      
144       2352      5680      0.19748        -71.01691      0.86529        -31.88815      
145       2499      5680      0.20188        -82.214        0.86588        -31.86034      
146       2646      5680      0.20698        -93.17542      0.86649        -31.8395       
147       2793      5680      0.21268        -103.84174     0.8671         -31.82492      
148       2940      5680      0.21882        -114.10135     0.8677         -31.81596      
149       3087      5680      0.22445        -124.16925     0.8683         -31.81274      
150       3234      5680      0.23032        -134.01388     0.86889        -31.81397      
151       3381      5680      0.23494        -143.59541     0.86946        -31.82055      
152       3528      5680      0.23921        -152.97227     0.87           -31.83124      
153       3675      5680      0.24376        -162.27176     0.87054        -31.84552      
154       3822      5680      0.24714        -171.46834     0.87104        -31.86451      
155       3969      5680      0.24974        179.44224      0.87152        -31.88779      
156       4116      5680      0.25134        170.39445      0.87196        -31.91573      
157       4263      5680      0.25218        161.34544      0.87236        -31.94837      
158       4410      5680      0.25205        152.39426      0.8727         -31.98552      
159       4557      5680      0.25063        143.33874      0.87296        -32.02816      
160       4704      5680      0.24869        134.29749      0.87314        -32.07522      
161       4851      5680      0.24629        125.10038      0.87322        -32.1273       
162       4998      5680      0.24241        115.83452      0.87315        -32.18315      
163       5145      5680      0.23781        106.46643      0.8729         -32.24101      
164       5292      5680      0.23338        96.84143       0.87246        -32.29974      
165       5439      5680      0.22759        87.03452       0.87178        -32.35403      
166       5586      5680      0.22171        76.99545       0.87088        -32.39984      
167       5733      5680      0.21549        66.79768       0.86978        -32.43087      
168       5880      5680      0.20926        56.17823       0.86853        -32.44322      
169       0         5789      0.28828        105.94857      0.87409        -32.26073      
170       125       5789      0.28398        97.60324       0.87373        -32.32656      
171       250       5789      0.27949        89.04443       0.87315        -32.39296      
172       375       5789      0.27457        80.5333        0.87233        -32.45356      
173       500       5789      0.26919        71.88483       0.87126        -32.50433      
174       625       5789      0.26407        62.99326       0.86996        -32.54099      
175       750       5789      0.25902        54.04248       0.86853        -32.55676      
176       875       5789      0.25385        44.86556       0.86703        -32.5479       
177       1000      5789      0.24927        35.47249       0.86559        -32.51472      
178       1125      5789      0.24465        26.05077       0.86437        -32.45932      
179       1250      5789      0.24075        16.39492       0.86341        -32.38807      
180       1375      5789      0.23735        6.65949        0.86278        -32.30822      
181       1500      5789      0.23497        -3.10839       0.86244        -32.22705      
182       1625      5789      0.23335        -13.14487      0.86236        -32.1472       
183       1750      5789      0.23241        -23.08035      0.86251        -32.07491      
184       1875      5789      0.23247        -33.06125      0.86283        -32.01058      
185       2000      5789      0.2335         -42.99306      0.86326        -31.95517      
186       2125      5789      0.23491        -52.71808      0.86378        -31.90953      
187       2250      5789      0.23771        -62.51756      0.86434        -31.87074      
188       2375      5789      0.24073        -72.11961      0.86494        -31.84015      
189       2500      5789      0.24447        -81.46068      0.86554        -31.81629      
190       2625      5789      0.24903        -90.76126      0.86615        -31.79771      
191       2750      5789      0.25351        -99.7676       0.86675        -31.78493      
192       2875      5789      0.25839        -108.65149     0.86735        -31.77656      
193       3000      5789      0.26334        -117.38729     0.86793        -31.77239      
194       3125      5789      0.26805        -125.89441     0.8685         -31.77219      
195       3250      5789      0.27279        -134.34287     0.86906        -31.77544      
196       3375      5789      0.27714        -142.62161     0.8696         -31.78212      
197       3500      5789      0.28105        -150.73018     0.87012        -31.79201      
198       3625      5789      0.28467        -158.94585     0.87064        -31.80538      
199       3750      5789      0.2879         -166.88881     0.87113        -31.82149      
200       3875      5789      0.29063        -174.83333     0.87161        -31.84102      
201       4000      5789      0.29286        177.22603      0.87207        -31.86409      
202       4125      5789      0.29438        169.38205      0.8725         -31.89066      
203       4250      5789      0.29514        161.51806      0.8729         -31.92131      
204       4375      5789      0.29489        153.74674      0.87326        -31.95588      
205       4500      5789      0.29435        145.88577      0.87359        -31.99496      
206       4625      5789      0.2931         138.00146      0.87385        -32.03869      
207       4750      5789      0.29125        130.09746      0.87404        -32.08706      
208       4875      5789      0.28886        122.12225      0.87414        -32.14028      
209       5000      5789      0.28585        114.05014      0.87411        -32.19814      
210       5125      5789      0.28237        105.89496      0.87394        -32.25962      
211       5250      5789      0.2781         97.67631       0.87359        -32.32269      
212       5375      5789      0.27356        89.30268       0.87302        -32.38547      
213       5500      5789      0.26874        80.84718       0.87222        -32.44359      
214       5625      5789      0.26367        72.16926       0.87118        -32.4931       
215       5750      5789      0.25835        63.35846       0.86994        -32.52753      
216       5875      5789      0.25322        54.33296       0.86854        -32.54274      
217       0         5884      0.33287        104.38117      0.87516        -32.28347      
218       111       5884      0.32899        96.93925       0.87487        -32.35476      
219       222       5884      0.32516        89.33986       0.87437        -32.42904      
220       333       5884      0.32083        81.70314       0.87361        -32.50148      
221       444       5884      0.3162         73.98176       0.87258        -32.5678       
222       555       5884      0.31145        66.16849       0.87127        -32.62219      
223       666       5884      0.30705        58.29877       0.86974        -32.65893      
224       777       5884      0.30275        50.24486       0.86804        -32.67225      
225       888       5884      0.29825        42.19721       0.86632        -32.65706      
226       999       5884      0.29375        33.93428       0.86469        -32.61353      
227       1110      5884      0.28986        25.66612       0.8633         -32.54769      
228       1221      5884      0.28617        17.16511       0.86222        -32.46347      
229       1332      5884      0.28331        8.72953        0.86149        -32.37222      
230       1443      5884      0.28059        0.19           0.86111        -32.27855      
231       1554      5884      0.27885        -8.40123       0.86102        -32.18892      
232       1665      5884      0.27775        -17.07182      0.86115        -32.10615      
233       1776      5884      0.27669        -25.72411      0.86149        -32.03327      
234       1887      5884      0.27649        -34.35974      0.86194        -31.97032      
235       1998      5884      0.27748        -43.09084      0.86248        -31.91581      
236       2109      5884      0.27883        -51.59776      0.86306        -31.87144      
237       2220      5884      0.28084        -60.15489      0.86368        -31.83445      
238       2331      5884      0.28292        -68.5208       0.86431        -31.80541      
239       2442      5884      0.28628        -76.84208      0.86494        -31.78151      
240       2553      5884      0.28951        -85.05241      0.86556        -31.76358      
241       2664      5884      0.29317        -93.18679      0.86618        -31.75022      
242       2775      5884      0.2973         -101.12722     0.86678        -31.74084      
243       2886      5884      0.30159        -108.97386     0.86736        -31.73513      
244       2997      5884      0.30596        -116.76787     0.86794        -31.73274      
245       3108      5884      0.31001        -124.40246     0.86849        -31.73363      
246       3219      5884      0.31428        -131.98365     0.86904        -31.73711      
247       3330      5884      0.3183         -139.44909     0.86957        -31.7433       
248       3441      5884      0.32173        -146.83441     0.87008        -31.75237      
249       3552      5884      0.3249         -154.13016     0.87058        -31.76388      
250       3663      5884      0.32826        -161.36986     0.87108        -31.77754      
251       3774      5884      0.33088        -168.56116     0.87155        -31.79407      
252       3885      5884      0.33348        -175.7358      0.87202        -31.8131       
253       3996      5884      0.3354         177.0987       0.87248        -31.83525      
254       4107      5884      0.33705        170.00289      0.87292        -31.86017      
255       4218      5884      0.338          162.91444      0.87334        -31.88858      
256       4329      5884      0.33772        155.84025      0.87372        -31.92096      
257       4440      5884      0.33805        148.74311      0.8741         -31.95667      
258       4551      5884      0.33731        141.61365      0.87443        -31.99709      
259       4662      5884      0.33613        134.51262      0.87471        -32.04178      
260       4773      5884      0.33456        127.30973      0.87493        -32.09182      
261       4884      5884      0.33265        120.1324       0.87508        -32.14652      
262       4995      5884      0.32938        112.85887      0.8751         -32.20686      
263       5106      5884      0.3264         105.54716      0.87501        -32.27163      
264       5217      5884      0.32299        98.16332       0.87475        -32.34026      
265       5328      5884      0.31909        90.67921       0.87429        -32.41109      
266       5439      5884      0.31482        83.16071       0.87359        -32.48043      
267       5550      5884      0.31036        75.46938       0.87263        -32.54545      
268       5661      5884      0.3065         67.77098       0.87143        -32.60068      
269       5772      5884      0.3015         59.84705       0.86996        -32.63834      
270       5883      5884      0.29712        51.93588       0.86836        -32.65467      
271       0         5968      0.37667        102.83795      0.87625        -32.30407      
272       100       5968      0.37329        96.0942        0.87604        -32.38044      
273       200       5968      0.37003        89.12191       0.87562        -32.46322      
274       300       5968      0.36652        82.32856       0.87497        -32.54494      
275       400       5968      0.36253        75.31916       0.874          -32.62608      
276       500       5968      0.35858        68.36809       0.87274        -32.6982       
277       600       5968      0.3544         61.24425       0.87115        -32.7564       
278       700       5968      0.34974        54.15466       0.86933        -32.79024      
279       800       5968      0.34548        46.85784       0.86733        -32.79692      
280       900       5968      0.3417         39.60482       0.86535        -32.77266      
281       1000      5968      0.33803        32.16805       0.8635         -32.71678      
282       1100      5968      0.33464        24.81061       0.86196        -32.63652      
283       1200      5968      0.33136        17.27473       0.86079        -32.53732      
284       1300      5968      0.32838        9.85886        0.86004        -32.43226      
285       1400      5968      0.32585        2.22811        0.85964        -32.32476      
286       1500      5968      0.32368        -5.32477       0.85957        -32.22437      
287       1600      5968      0.32184        -12.98078      0.85975        -32.13218      
288       1700      5968      0.32056        -20.62125      0.86012        -32.05118      
289       1800      5968      0.31987        -28.35437      0.86061        -31.98043      
290       1900      5968      0.32014        -35.98564      0.86118        -31.9207       
291       2000      5968      0.32071        -43.64401      0.8618         -31.87043      
292       2100      5968      0.32134        -51.18534      0.86245        -31.82964      
293       2200      5968      0.32311        -58.83703      0.86312        -31.79496      
294       2300      5968      0.32471        -66.29932      0.86378        -31.76797      
295       2400      5968      0.32735        -73.86768      0.86444        -31.74547      
296       2500      5968      0.33031        -81.2214       0.86507        -31.72826      
297       2600      5968      0.33337        -88.53651      0.86569        -31.71538      
298       2700      5968      0.33662        -95.74604      0.86629        -31.70625      
299       2800      5968      0.34036        -102.8855      0.86688        -31.70005      
300       2900      5968      0.34387        -109.91552     0.86744        -31.69705      
301       3000      5968      0.34795        -116.98666     0.86801        -31.69623      
302       3100      5968      0.35161        -123.83753     0.86854        -31.6981       
303       3200      5968      0.35534        -130.74731     0.86907        -31.70221      
304       3300      5968      0.35891        -137.48098     0.86958        -31.70834      
305       3400      5968      0.36225        -144.28464     0.87009        -31.71677      
306       3500      5968      0.36559        -150.88594     0.87057        -31.7268       
307       3600      5968      0.3686         -157.57636     0.87106        -31.73921      
308       3700      5968      0.37122        -164.12229     0.87153        -31.75353      
309       3800      5968      0.37398        -170.72933     0.872          -31.76995      
310       3900      5968      0.37587        -177.18736     0.87245        -31.78865      
311       4000      5968      0.3775         176.27975      0.8729         -31.81001      
312       4100      5968      0.3789         169.83362      0.87333        -31.83364      
313       4200      5968      0.37996        163.28594      0.87376        -31.86055      
314       4300      5968      0.38048        156.87686      0.87417        -31.89009      
315       4400      5968      0.38033        150.35616      0.87456        -31.92378      
316       4500      5968      0.37998        143.86793      0.87493        -31.96096      
317       4600      5968      0.37935        137.35246      0.87528        -32.00241      
318       4700      5968      0.37855        130.84352      0.87558        -32.04823      
319       4800      5968      0.37679        124.29492      0.87583        -32.09951      
320       4900      5968      0.37488        117.71351      0.87602        -32.15614      
321       5000      5968      0.3728         111.08528      0.87611        -32.21855      
322       5100      5968      0.36987        104.44902      0.87608        -32.28634      
323       5200      5968      0.36688        97.72935       0.87591        -32.35968      
324       5300      5968      0.36328        90.97346       0.87553        -32.43675      
325       5400      5968      0.36017        84.12838       0.87495        -32.51664      
326       5500      5968      0.35605        77.30039       0.87408        -32.59342      
327       5600      5968      0.35209        70.33957       0.87293        -32.66502      
328       5700      5968      0.34821        63.26537       0.87147        -32.72487      
329       5800      5968      0.34423        56.16621       0.86977        -32.7648       
330       5900      5968      0.3397         49.00622       0.86789        -32.77744      
331       0         6044      0.42027        101.35371      0.87738        -32.32197      
332       90        6044      0.41719        95.29554       0.87725        -32.4013       
333       180       6044      0.41393        89.0784        0.87694        -32.4881       
334       270       6044      0.41069        82.83662       0.87639        -32.57911      
335       360       6044      0.4074         76.55993       0.87556        -32.67156      
336       450       6044      0.40401        70.22899       0.8744         -32.76103      
337       540       6044      0.4006         63.91354       0.87289        -32.84021      
338       630       6044      0.39678        57.51848       0.87103        -32.90129      
339       720       6044      0.39303        51.12238       0.86891        -32.93616      
340       810       6044      0.3899         44.58301       0.86662        -32.94044      
341       900       6044      0.38588        38.14415       0.86439        -32.90558      
342       990       6044      0.38263        31.5244        0.86231        -32.83805      
343       1080      6044      0.37894        24.94437       0.86061        -32.74201      
344       1170      6044      0.37567        18.24982       0.85933        -32.62778      
345       1260      6044      0.37343        11.53924       0.85847        -32.50709      
346       1350      6044      0.37091        4.85482        0.85805        -32.38724      
347       1440      6044      0.36871        -1.9595        0.85797        -32.27265      
348       1530      6044      0.36653        -8.66134       0.85818        -32.17094      
349       1620      6044      0.36522        -15.52269      0.85857        -32.07922      
350       1710      6044      0.3646         -22.30958      0.85908        -32.00064      
351       1800      6044      0.36396        -29.14202      0.8597         -31.93358      
352       1890      6044      0.36353        -35.93772      0.86037        -31.87763      
353       1980      6044      0.36369        -42.77855      0.86107        -31.83043      
354       2070      6044      0.36415        -49.52364      0.86176        -31.79193      
355       2160      6044      0.36533        -56.30479      0.86246        -31.75973      
356       2250      6044      0.36682        -63.00586      0.86313        -31.73376      
357       2340      6044      0.36831        -69.68159      0.8638         -31.71319      
358       2430      6044      0.37084        -76.35623      0.86445        -31.69619      
359       2520      6044      0.37327        -82.89749      0.86507        -31.68351      
360       2610      6044      0.37586        -89.48969      0.86568        -31.67406      
361       2700      6044      0.37868        -95.89982      0.86625        -31.66756      
362       2790      6044      0.38194        -102.3654      0.86682        -31.66328      
363       2880      6044      0.38538        -108.71289     0.86737        -31.66125      
364       2970      6044      0.38874        -115.03034     0.8679         -31.66141      
365       3060      6044      0.39189        -121.27442     0.86842        -31.66362      
366       3150      6044      0.39491        -127.54337     0.86893        -31.66775      
367       3240      6044      0.39855        -133.72535     0.86943        -31.67303      
368       3330      6044      0.40148        -139.81732     0.86991        -31.6803       
369       3420      6044      0.40469        -145.92559     0.87038        -31.68896      
370       3510      6044      0.40771        -151.95734     0.87085        -31.69915      
371       3600      6044      0.41006        -157.97813     0.87131        -31.71133      
372       3690      6044      0.41247        -163.93311     0.87176        -31.72486      
373       3780      6044      0.41473        -169.91436     0.87221        -31.7402       
374       3870      6044      0.41705        -175.85094     0.87265        -31.7571       
375       3960      6044      0.41884        178.22978      0.87309        -31.77612      
376       4050      6044      0.42063        172.30419      0.87352        -31.79714      
377       4140      6044      0.42126        166.4219       0.87394        -31.82088      
378       4230      6044      0.42207        160.51006      0.87437        -31.847        
379       4320      6044      0.42237        154.62097      0.87478        -31.87595      
380       4410      6044      0.42301        148.69828      0.87518        -31.9078       
