The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92934        -34.79         0.04826        66.16          0.44751        121.83         0.87011        -30.7          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
1         0         0         0.01589        32.64974       0.87           -30.72173      
2         0         2347      0.01571        30.66904       0.86999        -30.72121      
3         310       2347      0.01548        31.23272       0.86999        -30.72097      
4         620       2347      0.01557        31.29707       0.86999        -30.72111      
5         930       2347      0.01532        31.93164       0.87           -30.72085      
6         1240      2347      0.01535        32.96189       0.87           -30.72102      
7         1550      2347      0.01544        33.85013       0.87001        -30.72126      
8         1860      2347      0.01555        33.92017       0.87001        -30.72141      
9         2170      2347      0.01575        34.25611       0.87001        -30.72173      
10        2480      2347      0.01594        34.33828       0.87001        -30.72201      
11        2790      2347      0.01615        34.01607       0.87           -30.72226      
12        3100      2347      0.0162         33.7365        0.87           -30.7223       
13        3410      2347      0.01631        33.26849       0.87           -30.72239      
14        3720      2347      0.01644        32.42563       0.86999        -30.72247      
15        4030      2347      0.0164         32.1514        0.86999        -30.72237      
16        4340      2347      0.01613        31.15347       0.86999        -30.72186      
17        4650      2347      0.016          30.7646        0.86999        -30.72162      
18        4960      2347      0.01616        30.92046       0.86999        -30.72186      
19        5270      2347      0.01579        30.93189       0.86999        -30.72136      
20        5580      2347      0.01562        31.56996       0.86999        -30.72121      
21        5890      2347      0.01559        31.12082       0.86999        -30.72111      
22        0         4695      0.03568        -52.72138      0.86937        -30.68605      
23        310       4695      0.02991        -74.45574      0.8696         -30.67448      
24        620       4695      0.0246         -101.65155     0.86988        -30.66911      
25        930       4695      0.02191        -134.83817     0.87016        -30.66965      
26        1240      4695      0.02237        -170.84704     0.87043        -30.67667      
27        1550      4695      0.02588        157.4333       0.87064        -30.68922      
28        1860      4695      0.03104        131.96445      0.87077        -30.7059       
29        2170      4695      0.03672        111.07924      0.87081        -30.72494      
30        2480      4695      0.04212        93.2153        0.87075        -30.74404      
31        2790      4695      0.04682        76.91639       0.87059        -30.76107      
32        3100      4695      0.05014        61.62302       0.87034        -30.77285      
33        3410      4695      0.05226        47.00186       0.87003        -30.77786      
34        3720      4695      0.0528         32.16093       0.86971        -30.77456      
35        4030      4695      0.05219        17.57904       0.86944        -30.76411      
36        4340      4695      0.04975        2.92292        0.86926        -30.74752      
37        4650      4695      0.04635        -12.36851      0.86917        -30.72813      
38        4960      4695      0.04176        -28.58047      0.8692         -30.70851      
39        5270      4695      0.0362         -46.56286      0.86934        -30.6912       
40        5580      4695      0.03045        -67.44928      0.86955        -30.67826      
41        5890      4695      0.02506        -92.73479      0.8698         -30.67118      
42        0         5133      0.07984        -66.904        0.86868        -30.64027      
43        281       5133      0.07458        -87.13762      0.86915        -30.61975      
44        562       5133      0.07044        -108.80608     0.86967        -30.60939      
45        843       5133      0.0679         -131.69213     0.8702         -30.60924      
46        1124      5133      0.06722        -154.94786     0.8707         -30.61891      
47        1405      5133      0.06874        -178.24826     0.87115        -30.63762      
48        1686      5133      0.07206        159.71713      0.8715         -30.66404      
49        1967      5133      0.07651        138.80687      0.87173        -30.69744      
50        2248      5133      0.08154        119.35371      0.8718         -30.73517      
51        2529      5133      0.08664        101.22786      0.87168        -30.77398      
52        2810      5133      0.0913         83.9343        0.87135        -30.81008      
53        3091      5133      0.09458        67.48267       0.87083        -30.83695      
54        3372      5133      0.097          51.39358       0.87018        -30.85086      
