The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92934        -34.79         0.04826        66.16          0.44751        121.83         0.87011        -30.7          

Pt        X         Y         gamma_l        angle          gamma_out      angle          
1         0         0         0.02582        156.54214      0.92986        -34.77821      
2         0         3000      0.02545        156.82274      0.92985        -34.77823      
3         621       3000      0.02562        157.10672      0.92985        -34.778        
4         1242      3000      0.02577        157.24198      0.92985        -34.77785      
5         1863      3000      0.02587        156.96634      0.92986        -34.77795      
6         2484      3000      0.02603        156.87015      0.92986        -34.77793      
7         3105      3000      0.02591        156.49645      0.92986        -34.77819      
8         3726      3000      0.0259         155.67879      0.92986        -34.77864      
9         4347      3000      0.02562        156.05206      0.92985        -34.77857      
10        4968      3000      0.02551        156.48721      0.92985        -34.77838      
11        5589      3000      0.02561        156.84437      0.92985        -34.77814      
12        6210      3000      0.02582        156.97486      0.92985        -34.77797      
13        6831      3000      0.02594        157.26276      0.92986        -34.77776      
14        7452      3000      0.02598        157.03476      0.92986        -34.77786      
15        8073      3000      0.02611        156.62565      0.92986        -34.77802      
16        8694      3000      0.02602        156.08118      0.92986        -34.77837      
17        9315      3000      0.02584        156.00055      0.92986        -34.77849      
18        9936      3000      0.02567        155.81244      0.92986        -34.77867      
19        10557     3000      0.02556        156.52378      0.92985        -34.77834      
20        11178     3000      0.02562        156.93639      0.92985        -34.77809      
21        11799     3000      0.02582        157.56162      0.92985        -34.77765      
22        0         6001      0.0159         -26.63437      0.92901        -34.79569      
23        621       6001      0.0288         -103.99139     0.92906        -34.75666      
24        1242      6001      0.04689        -141.10176     0.92949        -34.73068      
25        1863      6001      0.06086        -169.82478     0.93008        -34.72763      
26        2484      6001      0.06738        164.03001      0.93056        -34.74807      
27        3105      6001      0.06571        138.05079      0.93073        -34.78416      
28        3726      6001      0.0561         111.05142      0.93046        -34.81983      
29        4347      6001      0.04015        79.81037       0.92984        -34.83525      
30        4968      6001      0.02228        32.2349        0.92921        -34.81923      
31        5589      6001      0.0191         -61.59214      0.92895        -34.7814       
32        6210      6001      0.03622        -118.4594      0.92916        -34.74433      
33        6831      6001      0.05321        -151.56056     0.92969        -34.72587      
34        7452      6001      0.06468        -179.31941     0.93028        -34.73201      
35        8073      6001      0.06817        154.43553      0.93068        -34.76009      
36        8694      6001      0.0633         127.88553      0.93069        -34.79905      
37        9315      6001      0.05094        99.53708       0.93025        -34.82973      
38        9936      6001      0.03337        64.52656       0.92957        -34.83322      
39        10557     6001      0.01797        -0.98056       0.92904        -34.80601      
40        11178     6001      0.02538        -89.11177      0.92897        -34.76538      
41        11799     6001      0.04368        -132.20853     0.92934        -34.73389      
42        0         6426      0.05909        -25.31221      0.92807        -34.81091      
43        562       6426      0.06682        -76.56821      0.92821        -34.73749      
44        1124      6426      0.08292        -118.03196     0.92897        -34.68859      
45        1686      6426      0.09849        -151.86609     0.92998        -34.67578      
46        2248      6426      0.10865        177.83796      0.93092        -34.69828      
47        2810      6426      0.11074        148.71906      0.93153        -34.75098      
48        3372      6426      0.10482        119.20746      0.93154        -34.82077      
49        3934      6426      0.09194        87.31841       0.93078        -34.8816       
50        4496      6426      0.07548        49.91168       0.92946        -34.89684      
51        5058      6426      0.06288        3.62355        0.92833        -34.85218      
52        5620      6426      0.06256        -49.51283      0.928          -34.77564      
53        6182      6426      0.07523        -96.28439      0.92848        -34.70977      
54        6744      6426      0.09192        -133.76387     0.92941        -34.67647      
55        7306      6426      0.10528        -165.91373     0.93044        -34.68058      
56        7868      6426      0.11172        164.31499      0.93128        -34.71878      
57        8430      6426      0.10998        134.83033      0.93165        -34.78308      
58        8992      6426      0.10017        104.22046      0.93129        -34.85405      
59        9554      6426      0.08502        70.08499       0.93019        -34.89795      
60        10116     6426      0.06924        28.61907       0.92883        -34.88296      
61        10678     6426      0.0616         -22.28004      0.92803        -34.81616      
62        11240     6426      0.06862        -73.4038       0.92813        -34.7398       
63        11802     6426      0.08447        -115.35556     0.92889        -34.68773      
64        0         6683      0.10369        -25.7346       0.92705        -34.82148      
65        421       6683      0.10793        -60.20262      0.9272         -34.73456      
66        842       6683      0.11778        -92.42652      0.92794        -34.66963      
67        1263      6683      0.13007        -121.36696     0.92896        -34.63446      
68        1684      6683      0.14195        -147.79954     0.93006        -34.62776      
69        2105      6683      0.15063        -172.40572     0.93109        -34.64747      
70        2526      6683      0.15498        163.69668      0.93194        -34.69155      
71        2947      6683      0.15469        140.06206      0.93247        -34.75689      
72        3368      6683      0.14902        115.99906      0.93247        -34.83721      
73        3789      6683      0.13969        90.72867       0.93178        -34.91641      
74        4210      6683      0.1277         63.47916       0.93039        -34.9656       
75        4631      6683      0.1161         33.29433       0.92869        -34.95721      
76        5052      6683      0.10826        0.33921        0.9274         -34.89124      
77        5473      6683      0.10682        -34.50656      0.92695        -34.79839      
78        5894      6683      0.11236        -68.67232      0.92731        -34.71363      
79        6315      6683      0.12317        -99.91567      0.92816        -34.65551      
80        6736      6683      0.13565        -128.21926     0.92923        -34.62754      
81        7157      6683      0.14656        -154.1557      0.93034        -34.62835      
82        7578      6683      0.15404        -178.82709     0.93136        -34.65545      
83        7999      6683      0.15705        157.23348      0.93215        -34.70649      
84        8420      6683      0.15491        133.27671      0.93256        -34.77846      
85        8841      6683      0.14817        108.72504      0.93238        -34.86217      
86        9262      6683      0.13788        82.89532       0.93146        -34.93727      
87        9683      6683      0.12559        54.83055       0.92989        -34.97234      
88        10104     6683      0.11461        23.78137       0.92822        -34.94465      
89        10525     6683      0.10814        -10.11284      0.92714        -34.86488      
90        10946     6683      0.10915        -45.04653      0.92696        -34.77023      
91        11367     6683      0.11684        -78.37038      0.9275         -34.69164      
92        11788     6683      0.12856        -108.66585     0.92846        -34.64218      
93        0         6860      0.14667        -25.93405      0.92601        -34.82747      
94        347       6860      0.14926        -53.08989      0.92625        -34.7288       
95        694       6860      0.15609        -79.34079      0.92702        -34.65394      
96        1041      6860      0.16551        -104.03388     0.92806        -34.60695      
97        1388      6860      0.17552        -127.23539     0.92919        -34.58572      
98        1735      6860      0.18519        -149.16274     0.93032        -34.58649      
99        2082      6860      0.19249        -170.22844     0.93138        -34.60797      
100       2429      6860      0.19672        169.27494      0.9323         -34.64892      
101       2776      6860      0.19773        148.94969      0.93302        -34.70902      
102       3123      6860      0.19532        128.53448      0.93341        -34.78713      
103       3470      6860      0.18963        107.70162      0.93328        -34.87825      
104       3817      6860      0.18141        86.01191       0.93246        -34.96889      
105       4164      6860      0.17154        63.17014       0.93087        -35.03222      
106       4511      6860      0.16215        38.90899       0.92886        -35.03914      
107       4858      6860      0.15448        13.2974        0.92707        -34.97978      
108       5205      6860      0.15042        -13.45825      0.92607        -34.87827      
109       5552      6860      0.15076        -40.66903      0.92598        -34.77081      
110       5899      6860      0.15562        -67.40674      0.92657        -34.68249      
111       6246      6860      0.16408        -92.75495      0.92753        -34.62224      
112       6593      6860      0.17399        -116.62973     0.92865        -34.58939      
113       6940      6860      0.18383        -139.14985     0.92981        -34.58063      
114       7287      6860      0.19193        -160.72828     0.93092        -34.59357      
115       7634      6860      0.19762        178.43065      0.93193        -34.62631      
116       7981      6860      0.19982        157.89608      0.93277        -34.67893      
117       8328      6860      0.19872        137.39239      0.93333        -34.75062      
118       8675      6860      0.1941         116.54003      0.93345        -34.83901      
119       9022      6860      0.1869         95.19978       0.93294        -34.9336       
120       9369      6860      0.17763        72.88178       0.93165        -35.01357      
121       9716      6860      0.16766        49.19601       0.92972        -35.04759      
122       10063     6860      0.15889        24.05375       0.92771        -35.01399      
123       10410     6860      0.15325        -2.44386       0.92632        -34.92384      
124       10757     6860      0.15193        -29.68679      0.92588        -34.81285      
125       11104     6860      0.15531        -56.70719      0.92623        -34.71364      
126       11451     6860      0.16251        -82.61363      0.92709        -34.64128      
127       11798     6860      0.17201        -107.20919     0.92818        -34.59735      
128       0         7001      0.18987        -26.50471      0.92493        -34.82649      
129       295       7001      0.19194        -48.87744      0.92528        -34.71933      
130       590       7001      0.19667        -70.7923       0.92611        -34.63826      
