The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
101       2776      6860      0.12018        161.94457      0.93535        -31.88201      
102       3123      6860      0.12123        133.13813      0.93591        -31.94495      
103       3470      6860      0.13033        105.7277       0.93615        -32.02243      
104       3817      6860      0.14419        81.03805       0.93589        -32.10858      
105       4164      6860      0.16024        58.99481       0.93501        -32.19018      
106       4511      6860      0.17587        38.98757       0.93352        -32.24548      
107       4858      6860      0.18935        20.41747       0.93167        -32.25248      
108       5205      6860      0.19937        2.66484        0.92998        -32.20382      
109       5552      6860      0.20557        -14.60465      0.9289         -32.11603      
110       5899      6860      0.20725        -31.66763      0.92859        -32.0165       
111       6246      6860      0.20483        -48.69171      0.9289         -31.92777      
112       6593      6860      0.19791        -65.95238      0.92963        -31.86014      
113       6940      6860      0.18737        -83.76295      0.93057        -31.81538      
114       7287      6860      0.17363        -102.57466     0.93161        -31.79218      
115       7634      6860      0.15777        -122.91668     0.93267        -31.78866      
116       7981      6860      0.14201        -145.48506     0.93368        -31.8029       
117       8328      6860      0.12913        -170.91451     0.93461        -31.83408      
118       8675      6860      0.12234        160.9862       0.9354         -31.8822       
119       9022      6860      0.12391        132.21388      0.93597        -31.94649      
120       9369      6860      0.13305        104.92737      0.9362         -32.02564      
121       9716      6860      0.14715        80.38005       0.93592        -32.11335      
122       10063     6860      0.163          58.41759       0.93501        -32.19565      
123       10410     6860      0.17845        38.37442       0.93346        -32.25046      
124       10757     6860      0.19174        19.72783       0.93158        -32.25502      
125       11104     6860      0.20175        1.83168        0.92987        -32.2028       
126       11451     6860      0.2077         -15.55881      0.92881        -32.11159      
127       11798     6860      0.20953        -32.74517      0.92853        -32.01026      
128       0         7001      0.24346        -32.50681      0.92766        -32.00802      
129       295       7001      0.24197        -47.56013      0.92807        -31.91531      
130       590       7001      0.23721        -62.81472      0.92883        -31.84344      
131       885       7001      0.22949        -78.30721      0.92977        -31.79338      
132       1180      7001      0.21941        -94.26562      0.9308         -31.76251      
133       1475      7001      0.20725        -110.9086      0.93184        -31.74863      
134       1770      7001      0.19441        -128.56543     0.93287        -31.74921      
135       2065      7001      0.18162        -147.53883     0.93386        -31.76363      
136       2360      7001      0.1706         -167.99452     0.9348         -31.7914       
137       2655      7001      0.1634         170.16942      0.93564        -31.83247      
138       2950      7001      0.16134        147.50788      0.93636        -31.88762      
139       3245      7001      0.1649         124.90506      0.93687        -31.95754      
140       3540      7001      0.1731         103.15056      0.93708        -32.04194      
141       3835      7001      0.18478        82.86834       0.93683        -32.13609      
142       4130      7001      0.19811        63.95168       0.93597        -32.23009      
143       4425      7001      0.21136        46.23659       0.93444        -32.30429      
144       4720      7001      0.22378        29.50276       0.9324         -32.33547      
145       5015      7001      0.23396        13.49585       0.93028        -32.30745      
146       5310      7001      0.24156        -2.09231       0.9286         -32.22649      
147       5605      7001      0.24606        -17.38644      0.9277         -32.11739      
148       5900      7001      0.24743        -32.60536      0.92756        -32.0067       
149       6195      7001      0.24577        -47.74947      0.92799        -31.91222      
150       6490      7001      0.24108        -62.97348      0.92877        -31.83986      
151       6785      7001      0.23343        -78.53144      0.92974        -31.78926      
152       7080      7001      0.22308        -94.53657      0.93078        -31.75853      
153       7375      7001      0.21078        -111.31734     0.93185        -31.74477      
154       7670      7001      0.19748        -129.07492     0.93289        -31.74604      
155       7965      7001      0.18453        -148.12973     0.9339         -31.76107      
156       8260      7001      0.17355        -168.71743     0.93485        -31.78955      
157       8555      7001      0.16626        169.25883      0.93571        -31.83199      
158       8850      7001      0.16434        146.56803      0.93643        -31.8885       
159       9145      7001      0.16797        123.9976       0.93694        -31.96005      
160       9440      7001      0.17663        102.39642      0.93715        -32.04593      
161       9735      7001      0.18823        82.13277       0.93688        -32.14211      
162       10030     7001      0.20148        63.24642       0.93598        -32.23753      
163       10325     7001      0.21467        45.56073       0.93439        -32.31181      
164       10620     7001      0.22664        28.7712        0.93228        -32.34032      
165       10915     7001      0.23682        12.58494       0.93012        -32.30804      
166       11210     7001      0.24422        -3.09818       0.92846        -32.22228      
167       11505     7001      0.2488         -18.47426      0.92759        -32.11013      
168       11800     7001      0.25013        -33.7485       0.92751        -31.99831      
169       0         7121      0.28298        -33.4205       0.92666        -31.9922       
170       251       7121      0.282          -46.69264      0.92718        -31.89778      
171       502       7121      0.27858        -60.01416      0.92798        -31.82475      
172       753       7121      0.27344        -73.46801      0.92893        -31.77142      
173       1004      7121      0.26594        -87.19041      0.92994        -31.73571      
174       1255      7121      0.25709        -101.19986     0.93096        -31.7146       
175       1506      7121      0.24692        -115.71173     0.93198        -31.70611      
176       1757      7121      0.23618        -130.76451     0.93296        -31.7087       
177       2008      7121      0.22579        -146.63717     0.93391        -31.72134      
178       2259      7121      0.21608        -163.3964      0.93483        -31.74451      
179       2510      7121      0.20878        179.18389      0.93569        -31.77758      
180       2761      7121      0.20438        161.05416      0.93649        -31.82194      
181       3012      7121      0.20364        142.54244      0.93718        -31.87871      
182       3263      7121      0.20686        124.24907      0.93771        -31.94831      
183       3514      7121      0.21349        106.39092      0.93801        -32.03194      
184       3765      7121      0.22265        89.20507       0.93795        -32.12837      
185       4016      7121      0.23305        72.83372       0.93737        -32.23132      
186       4267      7121      0.24432        57.13318       0.93613        -32.32906      
187       4518      7121      0.25545        42.18334       0.93423        -32.40005      
188       4769      7121      0.2654         27.80314       0.93188        -32.42119      
189       5020      7121      0.27396        13.80123       0.92954        -32.38101      
190       5271      7121      0.28062        0.0994         0.92771        -32.28815      
191       5522      7121      0.28509        -13.39589      0.92668        -32.16791      
192       5773      7121      0.28727        -26.80221      0.92643        -32.04608      
193       6024      7121      0.2875         -40.13585      0.92677        -31.93951      
194       6275      7121      0.28535        -53.44828      0.92747        -31.85461      
195       6526      7121      0.28099        -66.82761      0.92838        -31.79134      
196       6777      7121      0.27445        -80.42045      0.92939        -31.74712      
197       7028      7121      0.26617        -94.33329      0.93043        -31.71897      
198       7279      7121      0.25645        -108.6096      0.93147        -31.70461      
199       7530      7121      0.24563        -123.43389     0.93248        -31.7022       
200       7781      7121      0.23441        -139.01186     0.93347        -31.71062      
201       8032      7121      0.22405        -155.37352     0.93442        -31.72906      
202       8283      7121      0.21527        -172.56694     0.93532        -31.75785      
203       8534      7121      0.20936        169.48758      0.93616        -31.79737      
204       8785      7121      0.20691        151.03135      0.93692        -31.8489       
205       9036      7121      0.20839        132.64972      0.93755        -31.91295      
206       9287      7121      0.21343        114.50014      0.93798        -31.99142      
207       9538      7121      0.22148        96.99883       0.93811        -32.08364      
208       9789      7121      0.2314         80.26051       0.93779        -32.1864       
209       10040     7121      0.24227        64.27935       0.93686        -32.29034      
210       10291     7121      0.2534         48.94915       0.93522        -32.37815      
211       10542     7121      0.26371        34.21261       0.93297        -32.42486      
212       10793     7121      0.27295        19.93586       0.9305         -32.41158      
213       11044     7121      0.28042        6.0032         0.92835        -32.33709      
214       11295     7121      0.28607        -7.69727       0.92693        -32.22236      
215       11546     7121      0.28951        -21.21107      0.92637        -32.09612      
216       11797     7121      0.29068        -34.62462      0.92649        -31.98008      
217       0         7223      0.32211        -34.38568      0.92569        -31.96919      
218       222       7223      0.32158        -46.3804       0.92634        -31.87403      
219       444       7223      0.3192         -58.4411       0.92722        -31.80039      
220       666       7223      0.31525        -70.56993      0.92821        -31.7461       
221       888       7223      0.30985        -82.831        0.92923        -31.70802      
222       1110      7223      0.30295        -95.25777      0.93026        -31.68359      
223       1332      7223      0.29489        -107.93421     0.93126        -31.67043      
224       1554      7223      0.28607        -120.94447     0.93224        -31.66687      
225       1776      7223      0.27688        -134.38177     0.93319        -31.67189      
226       1998      7223      0.26778        -148.28891     0.93411        -31.68506      
227       2220      7223      0.25947        -162.70929     0.935          -31.70619      
228       2442      7223      0.25256        -177.68252     0.93586        -31.73573      
229       2664      7223      0.24774        166.93682      0.93668        -31.77423      
230       2886      7223      0.2459         151.2468       0.93744        -31.82261      
231       3108      7223      0.24643        135.44094      0.93811        -31.88291      
232       3330      7223      0.24991        119.81771      0.93865        -31.95588      
233       3552      7223      0.2558         104.44306      0.93898        -32.04335      
234       3774      7223      0.26368        89.54764       0.93898        -32.14447      
235       3996      7223      0.27267        75.11813       0.9385         -32.25592      
236       4218      7223      0.28213        61.15461       0.93737        -32.36757      
237       4440      7223      0.29167        47.57541       0.93549        -32.46128      
238       4662      7223      0.30075        34.4557        0.933          -32.51163      
239       4884      7223      0.30893        21.70018       0.93026        -32.4991       
240       5106      7223      0.31576        9.17377        0.92784        -32.42171      
241       5328      7223      0.32115        -3.17125       0.92616        -32.29966      
242       5550      7223      0.32488        -15.38427      0.92537        -32.16198      
243       5772      7223      0.32684        -27.54653      0.92533        -32.03178      
244       5994      7223      0.32739        -39.65161      0.92581        -31.92156      
245       6216      7223      0.3261         -51.70839      0.92661        -31.83476      
246       6438      7223      0.32306        -63.77481      0.92757        -31.76962      
247       6660      7223      0.31848        -75.9637       0.9286         -31.7226       
248       6882      7223      0.31233        -88.3127       0.92965        -31.69082      
249       7104      7223      0.30477        -100.89094     0.93068        -31.67167      
250       7326      7223      0.29617        -113.74068     0.93169        -31.66312      
251       7548      7223      0.287          -126.97347     0.93267        -31.66367      
252       7770      7223      0.27744        -140.66306     0.93362        -31.67279      
253       7992      7223      0.26828        -154.85059     0.93454        -31.68999      
254       8214      7223      0.26038        -169.61156     0.93543        -31.71528      
255       8436      7223      0.25425        175.14944      0.93629        -31.7493       
256       8658      7223      0.25051        159.5283       0.93709        -31.79296      
257       8880      7223      0.24974        143.7249       0.93783        -31.84738      
258       9102      7223      0.25164        128.00587      0.93846        -31.91409      
259       9324      7223      0.2564         112.4864       0.93892        -31.99474      
260       9546      7223      0.26326        97.34411       0.93912        -32.09012      
261       9768      7223      0.27158        82.63142       0.93891        -32.19889      
262       9990      7223      0.28069        68.37537       0.93813        -32.31455      
263       10212     7223      0.29018        54.62336       0.93663        -32.42244      
264       10434     7223      0.29946        41.20057       0.93438        -32.50022      
265       10656     7223      0.30793        28.15878       0.93163        -32.5214       
266       10878     7223      0.31557        15.37294       0.9289         -32.47373      
267       11100     7223      0.32176        2.81609        0.92677        -32.36693      
268       11322     7223      0.3264         -9.57042       0.92554        -32.22966      
269       11544     7223      0.32949        -21.81388      0.92517        -32.09104      
270       11766     7223      0.33093        -34.00106      0.92545        -31.96853      
271       0         7314      0.3612         -35.43456      0.92476        -31.93868      
272       200       7314      0.36076        -46.47088      0.92557        -31.84428      
273       400       7314      0.35923        -57.54634      0.92653        -31.77154      
274       600       7314      0.35633        -68.65432      0.92756        -31.71768      
275       800       7314      0.35212        -79.82056      0.92861        -31.6793       
276       1000      7314      0.34704        -91.06118      0.92964        -31.65323      
277       1200      7314      0.34059        -102.45872     0.93065        -31.63766      
278       1400      7314      0.33335        -114.05724     0.93162        -31.63062      
279       1600      7314      0.32568        -125.88446     0.93256        -31.63094      
280       1800      7314      0.31766        -137.9919      0.93347        -31.63811      
281       2000      7314      0.30996        -150.45615     0.93436        -31.65161      
282       2200      7314      0.30257        -163.26136     0.93523        -31.67181      
283       2400      7314      0.29648        -176.43557     0.93608        -31.69867      
284       2600      7314      0.29163        170.10056      0.9369         -31.73317      
285       2800      7314      0.28901        156.38114      0.93769        -31.77592      
286       3000      7314      0.28826        142.54874      0.93843        -31.82858      
287       3200      7314      0.28968        128.70576      0.93909        -31.89268      
288       3400      7314      0.29326        115.00326      0.93964        -31.96979      
289       3600      7314      0.299          101.44839      0.93999        -32.06216      
290       3800      7314      0.30574        88.2769        0.94003        -32.16919      
291       4000      7314      0.31332        75.31006       0.93959        -32.28991      
292       4200      7314      0.32151        62.63106       0.9385         -32.41553      
293       4400      7314      0.32997        50.32381       0.93663        -32.52825      
294       4600      7314      0.33832        38.32208       0.93399        -32.60308      
295       4800      7314      0.34563        26.60197       0.93092        -32.6131       
296       5000      7314      0.35221        15.02579       0.92796        -32.54939      
297       5200      7314      0.35763        3.59729        0.9257         -32.42595      
298       5400      7314      0.36188        -7.70667       0.92442        -32.27411      
299       5600      7314      0.36499        -18.92329      0.92403        -32.12304      
300       5800      7314      0.36674        -30.09283      0.92432        -31.9901       
301       6000      7314      0.36735        -41.20243      0.92502        -31.88193      
302       6200      7314      0.36621        -52.24157      0.92595        -31.79867      
303       6400      7314      0.36392        -63.33696      0.92699        -31.73592      
