Mag(8.95),Angle(8.95),fit_Mag(8.95),fit_Angle(8.95),Mag(10.95),Angle(10.95),fit_Mag(10.95),fit_Angle(10.95),Mag(12.95),Angle(12.95),fit_Mag(12.95),fit_Angle(12.95),Mag(14.95),Angle(14.95),fit_Mag(14.95),fit_Angle(14.95),Mag(16.95),Angle(16.95),fit_Mag(16.95),fit_Angle(16.95),Mag(18.95),Angle(18.95),fit_Mag(18.95),fit_Angle(18.95),Mag(20.95),Angle(20.95),fit_Mag(20.95),fit_Angle(20.95),Mag(22.95),Angle(22.95),fit_Mag(22.95),fit_Angle(22.95),Mag(24.95),Angle(24.95),fit_Mag(24.95),fit_Angle(24.95)
,,0.5775234103283184,3.4837371834150206,,,4.193433155295358,3.5180500152947265,,,5.200157689077948,-0.4324482414768752,2.5459058927689573,-2.0258223281987724,2.9243070376626155,-2.2973767573802117,,,1.4764885234517602,-2.302941162604188,,,0.7940579428752267,-2.072779515206647,,,0.452440888256429,-1.8895363705347452,,,0.26781488527869884,-1.767532895176015,,,0.16236791032519035,-1.689531136799541
,,0.5732301591717429,3.485497212921907,,,4.156122727504185,3.821094476679244,,,5.670935758342726,-0.2597585202873351,0.39287404566088663,1.1752907762061247,3.2281329710483897,-2.5073703509662293,,,1.599534399134364,-2.5221245580764013,,,0.8483766590873035,-2.255235576273733,,,0.47936579579993877,-2.0456441567203902,,,0.28234059411956425,-1.9074547230508072,,,0.1706585511065006,-1.8196417821518576
,,0.5688310689678802,3.4869705197654834,,,4.070064995634133,4.127462374849679,,,6.183328443740788,0.011062528604724758,3.0540775063882784,-2.4512809177015837,3.5990511650140475,-2.733750976132013,,,1.7472397183575308,-2.7717685326240615,,,0.9123021357580033,-2.4620715598960103,,,0.5106509205392635,-2.2214459805014704,,,0.2990880472695294,-2.064299995531444,,,0.18017211926147012,-1.965055664275718
,,0.5643459795970553,3.4881506935301108,,,3.9328187054422816,4.426056760646449,,,6.720896882655207,0.41301976076978014,0.36592699329136213,1.2851046377334694,4.059027625940594,-2.973583763349181,,,1.9275543964120856,-3.05894274487784,,,0.98862145427026,-2.698983379631827,,,0.5474669296368627,-2.421338529734137,,,0.31862463270171865,-2.2417140714967076,,,0.19121122709656732,-2.128991194428135
,,0.5597951201939211,3.489032787696966,,,3.7453423884370904,4.704764073439225,,,7.2490868639940125,0.9818702143029563,3.5772713367970774,-2.9681636575884274,4.638991138830292,-3.218435878160502,,,2.152031861433021,-3.3929029095772107,,,1.0812658952087695,-2.9735612492203796,,,0.5914286458016856,-2.6511186658645753,,,0.3417221440063096,-2.444459737650635,,,0.20418398500901494,-2.3156278585562453
,,0.5551989894057997,3.4896133424234224,,,3.512386359371774,4.951787166083042,,,7.707811038690872,1.7464592197298532,5.24496724408951,-3.5509882062469726,5.382482120282779,-3.4484204785454198,,,2.4380066973969003,-3.7858718645214586,,,1.1959428374294867,-3.2961389169391166,,,0.6448213242441696,-2.918588357125012,,,0.369455464013311,-2.6788814751271013,,,0.2196532228876444,-2.5304946865489324
,,0.5505782346130554,3.489890396070528,,,3.2422474466982774,5.157109676684462,,,8.00929539403632,2.7101951233387167,,,6.349367379077406,-3.619939846053401,,,2.8124671991191494,-4.254023093305589,,,1.3412234781142391,-3.681135883032277,,,0.7109770641692345,-3.2345016307332446,,,0.403363108018231,-2.9536218636693246,,,0.23841546728203705,-2.7810635970749256
,,0.5459535313404972,3.489863485509561,,,2.945871178105387,5.313739932462059,,,8.051370376291032,3.8267367391708356,,,7.6152316655483,-3.6409422950594497,,,3.319275664451487,-4.818437435530251,,,1.5305090479157362,-4.149252564579496,,,0.7949289533797753,-3.614101494959284,,,0.4457190997446521,-3.280765565797812,,,0.26163256268064433,-3.077685774275979
,,0.5413454640645631,3.4895336353919575,,,2.6354967670935854,5.418423454908914,,,7.75386096625254,4.9855765742588085,,,9.250282043581375,-3.3250063167836785,,,4.033341764618415,-5.504895158135222,,,1.7857983837231115,-4.731199287873342,,,0.9046084084481171,-4.079722572575709,,,0.5000157004673254,-3.677741005175256,,,0.29106101759974257,-3.435126997408918
,,0.536774409575602,3.4889033367136446,,,2.323181840032092,5.4716805310463705,,,7.106219006427672,6.031408116513859,,,11.230671476583462,-2.3289104366606495,,,5.0899072164079255,-6.337837266668782,,,2.1454348721255183,-5.4742932420675015,,,1.0531783533601664,-4.665426725051889,,,0.5718704973061912,-4.170636580002845,,,0.3294734032538086,-3.8752019282448793
,,0.532260423989527,3.4879765151418543,,,2.019549282967387,5.477238568856074,,,6.189594080465704,6.821576620240455,,,13.199750050728818,-0.17097263236038235,,,6.747162500606972,-7.309661886766719,,,2.681481349300875,-6.454586153631689,,,1.2639440423980293,-5.425778812342612,,,0.6708529645659933,-4.800329019166557,,,0.381484060757515,-4.431548542340974
,,0.5278231344204816,3.4867584896970416,,,1.732979857092271,5.441087123964551,,,5.146154385904424,7.284663352484707,,,14.176891998165402,3.3419917162200172,,,9.513272318520277,-8.247039247671564,,,3.543169688409954,-7.799555206158736,,,1.5817463087968233,-6.453750160605141,,,0.814494620724798,-5.63465223931293,,,0.4553013010093209,-5.158886299056328
,,0.5234816362283968,3.4852559224922164,,,1.4693055471188015,5.37043035343272,,,4.117436323837796,7.435275018050223,,,13.054527967794039,7.243657354963678,,,14.274764479575028,-8.259484237950538,,,5.081617757609797,-9.726767279922859,,,2.1029775990332475,-7.920800745705677,,,1.0381309819045759,-6.794874072876333,,,0.5668436950853752,-6.152573149005839
,,0.5192543966451638,3.4834767603250514,,,1.2319199601216053,5.272758584853506,,,3.199212414702979,7.34362307353352,,,10.144634337053546,9.8076852670187,,,21.15136654757723,-4.115589598533096,,,8.273640176680454,-12.553913469982177,,,3.069641125469522,-10.177556221126512,,,1.422959486763046,-8.520681278469805,,,0.7508054137520654,-7.594830468174887
,,0.5151591654635805,3.4814301689930667,,,1.0221544439551926,5.155160267886438,,,2.4331468186774323,7.093975301549781,,,6.983957934207548,10.495397300037379,,,23.15469801901008,7.390310213376214,,,16.362213841926017,-15.881003061854909,,,5.248325159090297,-14.040841909890757,,,2.195116647170175,-11.358538242622828,,,1.0965801347502848,-9.882316319179381
