Pt(L1742) X         Y         NF(dB)         GAIN(dB)       NFcorr(dB)     Gins(dB)       gams           angle          
76        2520      5387      15.23275       -0.65345       17.562918      -8.8138027     0.17453        135.21964      
77        2730      5387      14.95018       -0.37794       17.276299      -8.5393324     0.1694         126.33125      
78        2940      5387      14.75577       -0.17985       17.079243      -8.3409328     0.16257        117.21608      
79        3150      5387      14.42335       0.15308        16.741594      -8.0094385     0.15402        107.86408      
80        3360      5387      14.275         0.31598        16.591438      -7.8469849     0.14404        98.1866        
81        3570      5387      14.19756       0.36426        16.520407      -7.7995725     0.13228        88.1286        
82        3780      5387      14.02498       0.57353        16.341047      -7.5908165     0.12017        77.16538       
83        3990      5387      14.00468       0.56831        16.325947      -7.5961938     0.10683        65.27293       
84        4200      5387      14.05705       0.5273         16.38059       -7.6382399     0.09397        51.85738       
85        4410      5387      14.07734       0.46943        16.407341      -7.6970267     0.08131        36.08806       
86        4620      5387      14.04298       0.46282        16.375408      -7.7028561     0.07089        17.08587       
87        4830      5387      14.36197       0.1599         16.701748      -8.0067511     0.0638         -5.25432       
88        5040      5387      14.56986       -0.05567       16.913483      -8.2210245     0.06202        -30.05687      
89        5250      5387      14.59292       -0.13118       16.941137      -8.2964926     0.06593        -54.25014      
90        5460      5387      14.82003       -0.38135       17.175156      -8.5462303     0.07449        -75.29324      
91        5670      5387      15.0341        -0.59632       17.393106      -8.7613983     0.08615        -92.88066      
92        5880      5387      15.19695       -0.76574       17.55817       -8.9298983     0.09885        -107.72173     
93        0         5551      15.46995       -1.10733       17.856297      -9.2767248     0.13964        -99.44818      
94        173       5551      15.59583       -1.25052       17.983826      -9.4181166     0.15003        -110.7907      
95        346       5551      15.81746       -1.42535       18.203058      -9.5928259     0.1606         -121.31962     
96        519       5551      15.98841       -1.6137        18.37862       -9.7804031     0.17064        -131.18427     
97        692       5551      15.90436       -1.5797        18.295692      -9.7461443     0.18026        -140.61543     
98        865       5551      16.19845       -1.81821       18.588966      -9.983839      0.18922        -149.61274     
99        1038      5551      16.13027       -1.77108       18.518139      -9.9358044     0.19737        -158.30481     
100       1211      5551      16.07452       -1.70456       18.457428      -9.8690491     0.20405        -166.67598     
101       1384      5551      16.11933       -1.73953       18.500381      -9.9032183     0.20959        -174.90572     
102       1557      5551      16.06373       -1.64531       18.436243      -9.8085098     0.214          176.98199      
103       1730      5551      16.05197       -1.62001       18.422268      -9.7829151     0.21709        169.0289       
104       1903      5551      15.88462       -1.43022       18.246634      -9.5928669     0.21885        161.05289      
105       2076      5551      15.75797       -1.31452       18.119122      -9.4771948     0.21915        153.11282      
106       2249      5551      15.47926       -1.03163       17.832752      -9.1946154     0.2183         145.19247      
107       2422      5551      15.4723        -0.91984       17.814899      -9.0835876     0.21591        137.22656      
108       2595      5551      15.17039       -0.65027       17.51243       -8.8152609     0.21237        129.14849      
109       2768      5551      14.87468       -0.35537       17.211359      -8.5206137     0.20782        121.10452      
110       2941      5551      14.69044       -0.15428       17.023911      -8.319829      0.20173        112.93057      
111       3114      5551      14.46387       0.0729         16.795645      -8.0927725     0.19435        104.54267      
112       3287      5551      14.22309       0.33495        16.549934      -7.8311186     0.18583        95.95995       
113       3460      5551      14.05592       0.50895        16.381514      -7.6576633     0.17677        86.96399       
114       3633      5551      13.86258       0.68225        16.190563      -7.485929      0.16661        77.69535       
115       3806      5551      13.81634       0.74631        16.143906      -7.421814      0.15619        67.87878       
116       3979      5551      13.7323        0.79621        16.065149      -7.3726654     0.1452         57.34914       
117       4152      5551      13.6902        0.78735        16.030087      -7.3817577     0.13458        46.03555       
118       4325      5551      13.80229       0.67553        16.14617       -7.4941468     0.12463        33.79984       
119       4498      5551      13.83429       0.64782        16.178848      -7.5229478     0.11555        20.19112       
120       4671      5551      13.84556       0.56906        16.198906      -7.602952      0.10875        5.47338        
121       4844      5551      14.07968       0.32353        16.438663      -7.8477397     0.1041         -10.51548      
122       5017      5551      14.33867       0.05694        16.703924      -8.1143627     0.1026         -26.98861      
123       5190      5551      14.52119       -0.15207       16.892044      -8.3229208     0.10432        -43.43577      
124       5363      5551      14.78451       -0.43022       17.161205      -8.5998936     0.10889        -59.16102      
125       5536      5551      14.91045       -0.58957       17.291027      -8.7579021     0.11602        -73.8725       
126       5709      5551      15.12567       -0.79631       17.509478      -8.9656439     0.12493        -87.40084      
127       5882      5551      15.30577       -0.98975       17.692299      -9.1575689     0.13495        -99.70179      
128       0         5680      15.69856       -1.41743       18.112259      -9.5923567     0.17806        -95.23335      
129       147       5680      15.84035       -1.57262       18.2582        -9.7482147     0.18619        -105.00001     
130       294       5680      15.8868        -1.64154       18.305246      -9.8162613     0.19495        -114.26839     
131       441       5680      16.08889       -1.84151       18.509605      -10.014914     0.20358        -123.20597     
132       588       5680      16.1831        -1.92267       18.600384      -10.094104     0.21239        -131.65852     
133       735       5680      16.39971       -2.13341       18.820662      -10.304399     0.22035        -139.90839     
134       882       5680      16.34951       -2.08967       18.766279      -10.259825     0.22818        -147.85895     
135       1029      5680      16.34457       -2.05407       18.754093      -10.22341      0.23478        -155.65435     
136       1176      5680      16.52092       -2.21081       18.930714      -10.378619     0.24062        -163.24516     
137       1323      5680      16.34077       -2.05243       18.746204      -10.221304     0.24643        -170.68268     
138       1470      5680      16.57184       -2.23574       18.976841      -10.403852     0.25049        -178.01077     
139       1617      5680      16.45919       -2.06802       18.851881      -10.236045     0.25423        174.71782      
140       1764      5680      16.28801       -1.92493       18.677351      -10.091119     0.25642        167.52803      
141       1911      5680      16.12175       -1.72972       18.502535      -9.8963528     0.25797        160.3606       
142       2058      5680      15.98791       -1.61245       18.368046      -9.7793055     0.25858        153.18647      
