Pt(L1742) X         Y         NF(dB)         GAIN(dB)       NFcorr(dB)     Gins(dB)       gams           angle          
332       90        6044      16.89816       -2.8465        19.438984      -11.057096     0.34299        -95.8267       
333       180       6044      16.97783       -2.93588       19.520052      -11.145381     0.34717        -101.68192     
334       270       6044      17.02335       -3.00855       19.565657      -11.215246     0.35163        -107.4509      
335       360       6044      17.26922       -3.24225       19.815388      -11.448119     0.35643        -113.15532     
336       450       6044      17.28269       -3.25658       19.825197      -11.459958     0.36123        -118.75322     
337       540       6044      17.45599       -3.41534       19.999943      -11.618587     0.36617        -124.26037     
338       630       6044      17.69073       -3.60858       20.232977      -11.809692     0.37103        -129.69906     
339       720       6044      17.5885        -3.55041       20.130648      -11.749674     0.3753         -135.07442     
340       810       6044      17.66837       -3.60753       20.20735       -11.806291     0.38015        -140.45057     
341       900       6044      17.85325       -3.78578       20.397179      -11.985806     0.38405        -145.64616     
342       990       6044      17.87765       -3.76774       20.413975      -11.967604     0.38819        -150.94753     
343       1080      6044      17.96994       -3.85291       20.504297      -12.050512     0.392          -156.11419     
344       1170      6044      17.80863       -3.68855       20.333979      -11.884901     0.39559        -161.26615     
345       1260      6044      17.85103       -3.73315       20.375092      -11.928679     0.39925        -166.37871     
346       1350      6044      17.85925       -3.68538       20.374519      -11.880951     0.40232        -171.39273     
347       1440      6044      17.82689       -3.67103       20.340019      -11.864271     0.40517        -176.45392     
348       1530      6044      17.85585       -3.65699       20.361462      -11.849768     0.40748        178.53962      
349       1620      6044      17.63386       -3.44685       20.133207      -11.640013     0.40972        173.54752      
350       1710      6044      17.51183       -3.33528       20.00639       -11.528781     0.4121         168.59458      
351       1800      6044      17.5237        -3.29877       20.00955       -11.490742     0.41375        163.58958      
352       1890      6044      17.36517       -3.1279        19.844664      -11.320164     0.41472        158.66475      
353       1980      6044      17.24638       -2.98139       19.716187      -11.170586     0.41526        153.70933      
354       2070      6044      17.07045       -2.78848       19.534189      -10.978574     0.41562        148.79795      
355       2160      6044      16.88755       -2.57993       19.341192      -10.768689     0.41594        143.84693      
356       2250      6044      16.67753       -2.35918       19.126177      -10.550179     0.41584        138.8899       
357       2340      6044      16.31243       -1.9902        18.75046       -10.180232     0.41484        134.00022      
358       2430      6044      16.25597       -1.90152       18.691223      -10.092691     0.41436        129.0458       
359       2520      6044      16.04          -1.60855       18.462896      -9.8007698     0.41305        124.10818      
360       2610      6044      15.81412       -1.38683       18.235043      -9.5800295     0.41129        119.14448      
361       2700      6044      15.55648       -1.10613       17.971294      -9.2998571     0.40921        114.22871      
362       2790      6044      15.14287       -0.70258       17.55139       -8.8976736     0.40704        109.21942      
363       2880      6044      14.92404       -0.43813       17.328489      -8.6354771     0.40438        104.26355      
364       2970      6044      14.74699       -0.20075       17.14463       -8.3986549     0.4015         99.23041       
365       3060      6044      14.38936       0.13756        16.785589      -8.061224      0.39818        94.19567       
366       3150      6044      14.10109       0.46285        16.492645      -7.7377501     0.39417        89.13972       
367       3240      6044      13.78423       0.80558        16.171143      -7.3963122     0.39064        84.03966       
368       3330      6044      13.54421       1.02117        15.934973      -7.1802588     0.3862         78.93117       
369       3420      6044      13.23727       1.36835        15.622614      -6.8337502     0.38164        73.70701       
370       3510      6044      12.91549       1.6828         15.298707      -6.5193124     0.37706        68.51607       
371       3600      6044      12.70174       1.86858        15.090378      -6.334816      0.37189        63.19306       
372       3690      6044      12.51758       2.05001        14.908566      -6.1548004     0.36709        57.88213       
373       3780      6044      12.29052       2.2602         14.682434      -5.9456072     0.36189        52.43119       
374       3870      6044      12.26168       2.27567        14.658925      -5.9314079     0.35694        47.01152       
375       3960      6044      12.21776       2.30496        14.619309      -5.9035535     0.35156        41.42217       
376       4050      6044      12.12682       2.32061        14.536166      -5.887856      0.34691        35.75698       
377       4140      6044      12.18872       2.26808        14.598767      -5.9412417     0.34164        30.05979       
378       4230      6044      12.23131       2.16031        14.651589      -6.050209      0.33656        24.26667       
379       4320      6044      12.33727       2.00176        14.763869      -6.2084169     0.3317         18.37255       
380       4410      6044      12.54238       1.75729        14.978558      -6.4550581     0.32804        12.38544       
381       4500      6044      12.66178       1.5693         15.107189      -6.6438546     0.32415        6.35466        
382       4590      6044      12.9389        1.27438        15.390804      -6.9389939     0.32042        0.22026        
383       4680      6044      13.1329        1.03611        15.591807      -7.1776242     0.31753        -5.95651       
384       4770      6044      13.48714       0.69938        15.950672      -7.514688      0.31514        -12.24118      
385       4860      6044      13.73678       0.40975        16.206911      -7.8018727     0.31342        -18.50068      
386       4950      6044      13.92552       0.19808        16.399029      -8.0129576     0.31141        -24.88328      
387       5040      6044      14.3326        -0.22274       16.817419      -8.4339886     0.31057        -31.24069      
388       5130      6044      14.50861       -0.42371       16.998959      -8.6367397     0.30986        -37.64381      
389       5220      6044      14.86162       -0.75579       17.355938      -8.9682608     0.31092        -44.02384      
390       5310      6044      15.14458       -1.04824       17.643122      -9.2582369     0.31206        -50.39577      
391       5400      6044      15.3154        -1.24657       17.81959       -9.4571018     0.31383        -56.72992      
392       5490      6044      15.54307       -1.50807       18.05555       -9.7169952     0.3157         -62.97778      
393       5580      6044      15.76802       -1.75117       18.287775      -9.9599257     0.31839        -69.23062      
394       5670      6044      16.25043       -2.14813       18.769152      -10.354448     0.32192        -75.34518      
395       5760      6044      16.29882       -2.22074       18.820808      -10.427456     0.32486        -81.46903      
396       5850      6044      16.41266       -2.3891        18.943426      -10.595166     0.32914        -87.45974      
397       0         6115      16.92946       -2.9378        19.506142      -11.163169     0.38062        -89.93889      
398       82        6115      17.02595       -3.04677       19.602732      -11.269422     0.3841         -95.32918      
399       164       6115      17.29865       -3.30878       19.881655      -11.530216     0.38759        -100.65549     
400       246       6115      17.27502       -3.3398        19.861374      -11.558972     0.3914         -105.93985     
401       328       6115      17.56434       -3.58184       20.151922      -11.79982      0.39546        -111.04345     
402       410       6115      17.76505       -3.75553       20.352871      -11.972766     0.39986        -116.21004     
403       492       6115      17.88085       -3.83753       20.465202      -12.052867     0.4036         -121.24392     
404       574       6115      17.91321       -3.9396        20.507044      -12.154274     0.40773        -126.2964      
405       656       6115      18.07663       -4.05676       20.66897       -12.271596     0.41166        -131.30064     
406       738       6115      17.9776        -3.96772       20.564213      -12.18085      0.4157         -136.24903     
407       820       6115      18.19407       -4.15921       20.781553      -12.37163      0.41975        -141.18031     
408       902       6115      18.17162       -4.12261       20.751366      -12.332609     0.42357        -145.99827     
409       984       6115      18.23063       -4.18881       20.81074       -12.397892     0.42738        -150.89248     
410       1066      6115      18.20187       -4.15025       20.775723      -12.357376     0.431          -155.64747     
411       1148      6115      18.17375       -4.11255       20.742117      -12.320574     0.43459        -160.39891     
412       1230      6115      18.16671       -4.1062        20.730959      -12.311366     0.43761        -165.13154     
413       1312      6115      18.16014       -4.05625       20.714951      -12.261623     0.44051        -169.7974      
414       1394      6115      18.06372       -3.9375        20.609703      -12.141544     0.44323        -174.49085     
415       1476      6115      18.04953       -3.914         20.589636      -12.116147     0.44578        -179.11001     
416       1558      6115      18.20982       -4.06106       20.753601      -12.263288     0.44776        176.24687      
417       1640      6115      18.07469       -3.91932       20.611538      -12.121008     0.4497         171.61068      
418       1722      6115      17.90373       -3.74194       20.430864      -11.942374     0.45155        167.0467       
419       1804      6115      17.80107       -3.62379       20.321764      -11.824693     0.45318        162.40174      
420       1886      6115      17.7142        -3.48224       20.224253      -11.681606     0.45389        157.83303      
421       1968      6115      17.71513       -3.46451       20.222004      -11.663453     0.45484        153.2221       
422       2050      6115      17.19784       -2.96257       19.69108       -11.162267     0.45521        148.64114      
423       2132      6115      17.21521       -2.95787       19.707432      -11.158603     0.45555        144.10708      
424       2214      6115      17.01048       -2.71115       19.490854      -10.910592     0.4555         139.50376      
425       2296      6115      16.75961       -2.45047       19.234253      -10.652291     0.45533        134.93495      
426       2378      6115      16.68443       -2.31036       19.149488      -10.510421     0.45472        130.33836      
427       2460      6115      16.40601       -2.02528       18.864025      -10.22625      0.454          125.76082      
428       2542      6115      16.21833       -1.80033       18.669697      -10.002568     0.45288        121.19168      
429       2624      6115      15.88582       -1.46798       18.331903      -9.6714058     0.45167        116.5967       
430       2706      6115      15.59406       -1.14407       18.030684      -9.3467093     0.45           112.06375      
431       2788      6115      15.44226       -0.95634       17.876434      -9.1608257     0.44803        107.42013      
432       2870      6115      15.01096       -0.4884        17.431475      -8.6920528     0.44578        102.86138      
433       2952      6115      14.76509       -0.23435       17.185617      -8.4402628     0.4432         98.24249       
434       3034      6115      14.50062       0.05125        16.918688      -8.1556168     0.44043        93.54104       
435       3116      6115      14.16921       0.40056        16.583702      -7.8066034     0.43721        88.94781       
436       3198      6115      13.87369       0.73521        16.282084      -7.4729013     0.43412        84.20714       
437       3280      6115      13.49039       1.10053        15.899985      -7.1097612     0.43046        79.54284       
438       3362      6115      13.26937       1.35743        15.675524      -6.8528652     0.42672        74.81528       
439       3444      6115      12.91316       1.7019         15.319517      -6.5089688     0.42284        70.01684       
440       3526      6115      12.68394       1.92867        15.094891      -6.2858305     0.41851        65.25197       
441       3608      6115      12.4767        2.18261        14.881297      -6.0319133     0.41438        60.40051       
442       3690      6115      12.17228       2.42068        14.584976      -5.7952342     0.4096         55.53028       
443       3772      6115      12.09331       2.51061        14.50668       -5.705749      0.40507        50.60732       
444       3854      6115      11.88388       2.66568        14.303092      -5.5520716     0.40077        45.62592       
445       3936      6115      11.80719       2.72742        14.228716      -5.4916086     0.39635        40.6025        
446       4018      6115      11.85873       2.67214        14.28467       -5.548492      0.39165        35.49838       
447       4100      6115      11.80068       2.65235        14.234076      -5.5669079     0.38709        30.38953       
448       4182      6115      11.89118       2.4842         14.337716      -5.7372828     0.38274        25.19648       
449       4264      6115      12.0091        2.33673        14.460505      -5.8863454     0.3789         19.9724        
450       4346      6115      12.12156       2.14286        14.5838        -6.0805979     0.37467        14.61369       
451       4428      6115      12.38411       1.87554        14.849636      -6.3470936     0.3709         9.24018        
452       4510      6115      12.66629       1.56169        15.140341      -6.6621056     0.36725        3.85861        
453       4592      6115      12.8083        1.35972        15.28987       -6.8644686     0.364          -1.66282       
454       4674      6115      13.14268       0.99902        15.634435      -7.2270451     0.3615         -7.14168       
455       4756      6115      13.40189       0.72634        15.895869      -7.4984746     0.35915        -12.72583      
456       4838      6115      13.65476       0.42908        16.157078      -7.7951264     0.3574         -18.3511       
457       4920      6115      14.03464       0.07327        16.540894      -8.1513252     0.35563        -23.95465      
458       5002      6115      14.23076       -0.15247       16.740311      -8.3749838     0.35471        -29.61864      
459       5084      6115      14.56054       -0.51721       17.08251       -8.7403955     0.35395        -35.26491      
460       5166      6115      14.82236       -0.77562       17.348324      -8.9987192     0.35365        -40.94339      
461       5248      6115      15.11856       -1.07715       17.65032       -9.2994385     0.35422        -46.6153       
462       5330      6115      15.35914       -1.3291        17.896137      -9.5510759     0.35471        -52.30939      
463       5412      6115      15.49855       -1.50126       18.039326      -9.7207708     0.35625        -57.93661      
464       5494      6115      15.80372       -1.80144       18.349468      -10.019122     0.35795        -63.55204      
465       5576      6115      15.89593       -1.92069       18.444405      -10.13696      0.35996        -69.10202      
466       5658      6115      16.28569       -2.28378       18.842318      -10.501593     0.36249        -74.65119      
467       5740      6115      16.40912       -2.42649       18.96924       -10.6433       0.36499        -80.131        
468       5822      6115      16.66228       -2.628         19.221548      -10.84423      0.3687         -85.53037      
469       5904      6115      16.81935       -2.79704       19.384254      -11.011465     0.37194        -90.90307      
470       0         6180      17.1864        -3.23942       19.802979      -11.480223     0.42185        -90.22204      
471       75        6180      17.35011       -3.43482       19.974972      -11.672761     0.42443        -95.03326      
472       150       6180      17.75978       -3.79707       20.390968      -12.03514      0.42728        -99.87327      
473       225       6180      17.7516        -3.80379       20.379873      -12.039129     0.43072        -104.69524     
474       300       6180      17.8499        -3.90148       20.476974      -12.134541     0.4339         -109.44129     
475       375       6180      18.06757       -4.09055       20.6991        -12.324615     0.43735        -114.18461     
476       450       6180      18.02819       -4.08026       20.65995       -12.314388     0.44123        -118.87552     
477       525       6180      18.03821       -4.05792       20.6614        -12.287805     0.44483        -123.48097     
478       600       6180      18.15865       -4.20575       20.787659      -12.434776     0.44851        -128.10596     
479       675       6180      18.55786       -4.54579       21.188858      -12.773138     0.45209        -132.65732     
480       750       6180      18.46444       -4.4399        21.088499      -12.666352     0.45559        -137.19508     
481       825       6180      18.45807       -4.47307       21.086786      -12.698651     0.45891        -141.71077     
482       900       6180      18.48854       -4.50671       21.116562      -12.732708     0.46224        -146.17748     
483       975       6180      18.64442       -4.62026       21.270685      -12.845983     0.46525        -150.66809     
484       1050      6180      18.54078       -4.52029       21.161619      -12.745062     0.46848        -155.12017     
485       1125      6180      18.69602       -4.65091       21.312845      -12.872202     0.47131        -159.5067      
486       1200      6180      18.72067       -4.64645       21.329405      -12.866653     0.4746         -163.89146     
487       1275      6180      18.56413       -4.49236       21.16346       -12.710841     0.47756        -168.23216     
488       1350      6180      18.85993       -4.73729       21.460869      -12.95497      0.4799         -172.5761      
489       1425      6180      18.5516        -4.45058       21.141281      -12.667393     0.48242        -176.89545     
490       1500      6180      18.58636       -4.46957       21.171503      -12.68545      0.4846         178.80851      
491       1575      6180      18.32202       -4.20757       20.896315      -12.422318     0.48663        174.51429      
492       1650      6180      18.26491       -4.11875       20.831156      -12.333509     0.48857        170.22224      
493       1725      6180      18.19757       -4.04847       20.75927       -12.262929     0.49025        165.92576      
494       1800      6180      18.16426       -3.98489       20.718079      -12.197474     0.49148        161.64669      
495       1875      6180      18.1572        -3.94023       20.705208      -12.152595     0.49249        157.40657      
496       1950      6180      17.96335       -3.74412       20.504122      -11.956098     0.49324        153.14398      
497       2025      6180      17.82916       -3.57389       20.358824      -11.785466     0.49438        148.86629      
498       2100      6180      17.47646       -3.23772       19.998125      -11.451116     0.49517        144.61589      
499       2175      6180      17.36899       -3.08913       19.882008      -11.301953     0.49522        140.34658      
500       2250      6180      17.3387        -3.01855       19.84581       -11.22981      0.495          136.11955      
501       2325      6180      16.94705       -2.65546       19.448404      -10.867174     0.49462        131.89711      
502       2400      6180      16.83748       -2.48164       19.330587      -10.69346      0.49437        127.62316      
503       2475      6180      16.57594       -2.19325       19.059734      -10.406342     0.49398        123.37878      
504       2550      6180      16.36449       -1.97017       18.843531      -10.183332     0.49285        119.14063      
505       2625      6180      16.22168       -1.7985        18.69948       -10.01361      0.4915         114.89805      
506       2700      6180      15.75194       -1.32354       18.218008      -9.5388851     0.49027        110.66455      
507       2775      6180      15.61078       -1.15384       18.074926      -9.3693752     0.4885         106.38416      
508       2850      6180      15.31776       -0.78536       17.771322      -9.0034733     0.48683        102.11947      
509       2925      6180      14.87647       -0.35882       17.324692      -8.5776873     0.48487        97.87284       
510       3000      6180      14.68263       -0.11887       17.12715       -8.3386955     0.48224        93.57624       
511       3075      6180      14.30769       0.26611        16.749041      -7.9560962     0.48001        89.30869       
512       3150      6180      14.05049       0.5784         16.484465      -7.6452909     0.47749        84.97602       
513       3225      6180      13.65404       0.942          16.091408      -7.2825546     0.47466        80.62855       
514       3300      6180      13.35695       1.26531        15.79268       -6.9597664     0.47125        76.33309       
515       3375      6180      13.08401       1.59142        15.511633      -6.6319532     0.4677         71.94792       
516       3450      6180      12.74484       1.93305        15.172411      -6.2931261     0.46452        67.54061       
517       3525      6180      12.55721       2.1594         14.982866      -6.0676141     0.46078        63.17173       
518       3600      6180      12.20179       2.45741        14.632556      -5.7702422     0.45705        58.7288        
519       3675      6180      11.94169       2.71389        14.372412      -5.5149417     0.4537         54.26471       
520       3750      6180      11.75362       2.88949        14.188978      -5.3425403     0.44918        49.78348       
521       3825      6180      11.64975       2.97068        14.08917       -5.261157      0.44498        45.26077       
522       3900      6180      11.53313       3.03701        13.979449      -5.1957388     0.44103        40.7248        
523       3975      6180      11.47818       3.04381        13.931566      -5.190979      0.43728        36.09559       
524       4050      6180      11.52509       2.96996        13.983002      -5.2653694     0.4336         31.45755       
525       4125      6180      11.56931       2.85407        14.038427      -5.3838563     0.42924        26.79774       
526       4200      6180      11.71465       2.68           14.188269      -5.5568438     0.42502        22.05525       
527       4275      6180      11.74604       2.53382        14.234527      -5.7064581     0.4215         17.32388       
528       4350      6180      12.0184        2.25264        14.510211      -5.9861341     0.41747        12.5207        
529       4425      6180      12.21058       2.02142        14.708167      -6.2177229     0.41462        7.67567        
530       4500      6180      12.4961        1.70159        15.002324      -6.5396242     0.41143        2.7853         
531       4575      6180      12.79204       1.36775        15.307414      -6.8739781     0.40807        -2.12485       
532       4650      6180      13.0214        1.10841        15.540191      -7.1318979     0.40577        -7.0949        
533       4725      6180      13.41709       0.72604        15.941711      -7.5146632     0.40345        -12.05803      
534       4800      6180      13.5477        0.50691        16.083467      -7.7357464     0.40163        -17.09276      
535       4875      6180      13.93029       0.12709        16.471603      -8.1149216     0.4            -22.10309      
536       4950      6180      14.23569       -0.19096       16.78326       -8.4328156     0.39798        -27.14959      
537       5025      6180      14.54522       -0.51725       17.099892      -8.7581158     0.39728        -32.2382       
538       5100      6180      14.86114       -0.82835       17.421068      -9.0697632     0.3968         -37.31793      
539       5175      6180      14.96352       -0.99347       17.532469      -9.2353573     0.39648        -42.40729      
540       5250      6180      15.41639       -1.42777       17.992762      -9.6683035     0.39694        -47.49528      
541       5325      6180      15.53867       -1.5489        18.115564      -9.7894983     0.39683        -52.59263      
542       5400      6180      15.85771       -1.86079       18.438654      -10.098337     0.39817        -57.66901      
543       5475      6180      16.08611       -2.10182       18.674765      -10.340698     0.40004        -62.70369      
544       5550      6180      16.23226       -2.27407       18.82555       -10.511164     0.40135        -67.74301      
545       5625      6180      16.57558       -2.58579       19.173073      -10.82217      0.40342        -72.76378      
546       5700      6180      16.65029       -2.6955        19.252428      -10.930006     0.40522        -77.74817      
547       5775      6180      16.79888       -2.86115       19.403933      -11.093214     0.40759        -82.71363      
548       5850      6180      17.17284       -3.18993       19.783884      -11.421204     0.41068        -87.56721      
549       0         6241      17.57065       -3.67934       20.242878      -11.936872     0.46282        -90.74002      
550       70        6241      18.02226       -4.1053        20.703188      -12.361061     0.46535        -95.25499      
551       140       6241      17.97142       -4.07246       20.650524      -12.328112     0.46818        -99.723        
552       210       6241      18.18137       -4.28522       20.867502      -12.538158     0.4709         -104.25601     
553       280       6241      18.29543       -4.38524       20.980988      -12.63796      0.47381        -108.65338     
554       350       6241      18.21622       -4.32228       20.899544      -12.574695     0.47677        -113.06916     
555       420       6241      18.44026       -4.52372       21.12594       -12.771454     0.47955        -117.43668     
556       490       6241      18.61303       -4.68839       21.30291       -12.935687     0.48252        -121.77169     
557       560       6241      18.77615       -4.84149       21.470505      -13.089279     0.48578        -126.13165     
558       630       6241      18.78911       -4.85255       21.480885      -13.098111     0.48892        -130.46764     
559       700       6241      19.04301       -5.08676       21.735987      -13.329829     0.49224        -134.68595     
560       770       6241      18.92696       -4.98092       21.618412      -13.225071     0.49522        -138.98825     
561       840       6241      18.87018       -4.93252       21.555834      -13.172661     0.49822        -143.2587      
562       910       6241      19.03248       -5.0675        21.717314      -13.309191     0.50145        -147.45311     
563       980       6241      19.0505        -5.0726        21.730555      -13.312571     0.5046         -151.65594     
564       1050      6241      18.9414        -4.95186       21.612642      -13.191437     0.50755        -155.85949     
565       1120      6241      19.05889       -5.06915       21.729166      -13.305964     0.51021        -159.95168     
566       1190      6241      18.93072       -4.92294       21.588909      -13.156512     0.51304        -164.1015      
567       1260      6241      19.1614        -5.13927       21.82246       -13.373256     0.51555        -168.23631     
568       1330      6241      19.07326       -5.02759       21.724352      -13.260345     0.51771        -172.29258     
569       1400      6241      18.84093       -4.81087       21.482887      -13.04161      0.51997        -176.4027      
570       1470      6241      19.24094       -5.16445       21.886213      -13.392853     0.52194        179.53898      
571       1540      6241      18.93629       -4.83096       21.567198      -13.062589     0.52406        175.47057      
572       1610      6241      18.6969        -4.5598        21.311182      -12.789444     0.52617        171.42121      
573       1680      6241      18.48423       -4.34745       21.088581      -12.575944     0.5277         167.36828      
574       1750      6241      18.46687       -4.34424       21.072084      -12.572471     0.52905        163.31977      
575       1820      6241      18.39521       -4.26196       20.993067      -12.48714      0.53029        159.26552      
576       1890      6241      18.1729        -4.02249       20.762197      -12.248534     0.53115        155.25481      
577       1960      6241      18.34284       -4.12041       20.925121      -12.344296     0.53211        151.22603      
578       2030      6241      18.0071        -3.80598       20.581985      -12.030145     0.53275        147.1831       
579       2100      6241      17.99186       -3.73285       20.557127      -11.956325     0.5333         143.20425      
580       2170      6241      17.64349       -3.39006       20.20064       -11.614623     0.53351        139.14355      
581       2240      6241      17.64204       -3.35624       20.19467       -11.580462     0.5339         135.11648      
582       2310      6241      17.40564       -3.10248       19.951607      -11.328144     0.53365        131.14418      
583       2380      6241      17.07218       -2.73782       19.606199      -10.964163     0.53327        127.09499      
584       2450      6241      16.84073       -2.50991       19.370974      -10.73658      0.53298        123.06637      
585       2520      6241      16.72541       -2.36661       19.250713      -10.592614     0.53236        119.09876      
586       2590      6241      16.38312       -2.00152       18.899204      -10.229754     0.53186        115.04586      
587       2660      6241      16.24416       -1.81137       18.755932      -10.041455     0.53085        111.03633      
588       2730      6241      15.99206       -1.51838       18.49338       -9.7457314     0.52964        107.05616      
589       2800      6241      15.62613       -1.15081       18.122807      -9.3794279     0.52826        103.01941      
590       2870      6241      15.26463       -0.78007       17.755871      -9.0094919     0.52666        98.9987        
591       2940      6241      15.13072       -0.57683       17.616623      -8.8080578     0.52492        94.98585       
592       3010      6241      14.77871       -0.18978       17.258938      -8.4238615     0.52296        90.93257       
593       3080      6241      14.37035       0.22393        16.845112      -8.0090799     0.52092        86.90953       
594       3150      6241      14.05382       0.57585        16.523199      -7.6567807     0.51834        82.86951       
595       3220      6241      13.70028       0.93774        16.168655      -7.2958932     0.5157         78.76953       
596       3290      6241      13.2695        1.38588        15.732261      -6.8472629     0.51288        74.73177       
597       3360      6241      12.93396       1.7277         15.399294      -6.5093741     0.51013        70.62017       
598       3430      6241      12.56776       2.10846        15.031401      -6.1311541     0.50719        66.49127       
599       3500      6241      12.37853       2.35936        14.838673      -5.8803058     0.5041         62.41857       
600       3570      6241      12.01171       2.6752         14.477967      -5.5669227     0.5006         58.26831       
601       3640      6241      11.75958       2.96328        14.221977      -5.2795663     0.49722        54.11042       
602       3710      6241      11.57186       3.12688        14.040431      -5.1195049     0.49383        49.96605       
603       3780      6241      11.40667       3.25714        13.8826        -4.9909601     0.49009        45.72753       
604       3850      6241      11.25149       3.37277        13.730598      -4.8753123     0.48662        41.5           
605       3920      6241      11.24946       3.32601        13.735802      -4.9223189     0.48297        37.27787       
606       3990      6241      11.16606       3.33641        13.660086      -4.9121628     0.47922        32.97357       
607       4060      6241      11.22635       3.24653        13.725277      -5.0041361     0.47573        28.69736       
608       4130      6241      11.23033       3.14568        13.741402      -5.1071253     0.47203        24.36231       
609       4200      6241      11.48073       2.86799        13.997022      -5.3829885     0.46849        19.98593       
610       4270      6241      11.57728       2.669          14.107772      -5.5849857     0.46531        15.61568       
611       4340      6241      11.80916       2.40338        14.345515      -5.8520064     0.4618         11.17972       
612       4410      6241      12.12935       2.0403         14.674848      -6.2150817     0.45875        6.70926        
613       4480      6241      12.40123       1.71024        14.958872      -6.5471697     0.45577        2.22108        
614       4550      6241      12.74928       1.38246        15.306719      -6.8733525     0.45274        -2.28975       
615       4620      6241      13.00932       1.09279        15.572343      -7.164433      0.45044        -6.85408       
616       4690      6241      13.26121       0.77096        15.833277      -7.4848318     0.44807        -11.3646       
617       4760      6241      13.63019       0.39578        16.210579      -7.8623819     0.44568        -15.96892      
618       4830      6241      13.92325       0.10745        16.505041      -8.1500263     0.44411        -20.59348      
619       4900      6241      14.23582       -0.2413        16.828098      -8.4998245     0.44271        -25.18796      
620       4970      6241      14.52789       -0.55506       17.127777      -8.8141766     0.44139        -29.82415      
621       5040      6241      14.81799       -0.85242       17.421732      -9.1088982     0.44063        -34.48997      
622       5110      6241      15.08409       -1.12332       17.693909      -9.3818884     0.43974        -39.17223      
623       5180      6241      15.46802       -1.50299       18.083742      -9.7575998     0.43938        -43.81655      
624       5250      6241      15.57951       -1.60928       18.195591      -9.8651037     0.43958        -48.4772       
625       5320      6241      15.9385        -1.96334       18.561838      -10.216663     0.43967        -53.13536      
626       5390      6241      16.1226        -2.19195       18.758488      -10.446271     0.44024        -57.79432      
627       5460      6241      16.4406        -2.48808       19.079063      -10.73869      0.44126        -62.45037      
628       5530      6241      16.61056       -2.68768       19.256876      -10.940098     0.44179        -67.11604      
629       5600      6241      16.84035       -2.89918       19.489147      -11.15154      0.4432         -71.74017      
630       5670      6241      17.06847       -3.14045       19.723181      -11.38941      0.44538        -76.30707      
631       5740      6241      17.06498       -3.16894       19.722013      -11.420028     0.44738        -80.91847      
632       5810      6241      17.39164       -3.48349       20.05772       -11.735476     0.45006        -85.46858      
633       5880      6241      17.50963       -3.57408       20.171642      -11.822729     0.45225        -89.99016      
634       0         6300      17.81448       -3.99455       20.546484      -12.274928     0.50422        -91.41298      
635       64        6300      18.21115       -4.31346       20.94449       -12.594325     0.50624        -95.52599      
636       128       6300      18.27221       -4.42042       21.011959      -12.700325     0.50834        -99.59503      
637       192       6300      18.55938       -4.67691       21.301506      -12.953225     0.51088        -103.73871     
638       256       6300      18.67294       -4.79491       21.417862      -13.070562     0.51328        -107.78205     
639       320       6300      18.82616       -4.9557        21.575249      -13.229211     0.51564        -111.81352     
640       384       6300      18.71219       -4.88328       21.46088       -13.155354     0.5185         -115.84654     
641       448       6300      18.95695       -5.07841       21.706089      -13.34978      0.52117        -119.88949     
642       512       6300      19.04572       -5.18395       21.798304      -13.45322      0.52361        -123.81406     
643       576       6300      19.22382       -5.33063       21.974714      -13.597266     0.52638        -127.79617     
644       640       6300      19.27149       -5.4059        22.025785      -13.671943     0.52904        -131.75743     
645       704       6300      19.22442       -5.35181       21.97768       -13.618679     0.53152        -135.62777     
646       768       6300      19.48037       -5.56865       22.231428      -13.832027     0.53483        -139.5717      
647       832       6300      19.35375       -5.42927       22.097422      -13.691452     0.53743        -143.46645     
648       896       6300      19.38345       -5.48068       22.129196      -13.742651     0.53999        -147.29417     
649       960       6300      19.34959       -5.43089       22.088713      -13.690868     0.54249        -151.19648     
650       1024      6300      19.53289       -5.60123       22.275099      -13.862606     0.54497        -155.022       
651       1088      6300      19.5962        -5.62478       22.330353      -13.884347     0.54748        -158.85566     
652       1152      6300      19.58551       -5.59988       22.315218      -13.860381     0.54985        -162.70299     
653       1216      6300      19.49902       -5.52372       22.223375      -13.782401     0.55251        -166.51623     
654       1280      6300      19.35304       -5.38119       22.069096      -13.637833     0.55462        -170.29489     
655       1344      6300      19.57838       -5.5974        22.2988        -13.855878     0.55653        -174.08244     
656       1408      6300      19.55712       -5.5461        22.266989      -13.801269     0.55861        -177.85904     
657       1472      6300      19.211         -5.17287       21.904043      -13.429605     0.56051        178.38179      
658       1536      6300      19.36132       -5.304         22.050896      -13.558188     0.56294        174.61426      
659       1600      6300      19.28707       -5.22034       21.971123      -13.472991     0.56466        170.85901      
660       1664      6300      19.05436       -4.98521       21.726139      -13.235975     0.56615        167.11007      
661       1728      6300      18.91779       -4.82836       21.581842      -13.080942     0.56719        163.41115      
662       1792      6300      18.93671       -4.82066       21.593655      -13.069752     0.56857        159.63343      
663       1856      6300      18.6171        -4.49821       21.261789      -12.744073     0.56926        155.91139      
664       1920      6300      18.76197       -4.60768       21.405249      -12.854028     0.57006        152.21566      
665       1984      6300      18.41436       -4.27457       21.044884      -12.517042     0.57097        148.44742      
666       2048      6300      18.51867       -4.32823       21.145918      -12.57056      0.57182        144.74476      
667       2112      6300      18.2326        -4.00327       20.84409       -12.245272     0.57214        141.04396      
668       2176      6300      18.1694        -3.93154       20.779621      -12.176116     0.57275        137.29307      
