The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
103       1730      5551      0.21709        169.0289       0.88182        -27.95168      
104       1903      5551      0.21885        161.05289      0.8822         -27.97269      
105       2076      5551      0.21915        153.11282      0.88253        -27.99791      
106       2249      5551      0.2183         145.19247      0.88282        -28.027        
107       2422      5551      0.21591        137.22656      0.88304        -28.06024      
108       2595      5551      0.21237        129.14849      0.88319        -28.09726      
109       2768      5551      0.20782        121.10452      0.88324        -28.13666      
110       2941      5551      0.20173        112.93057      0.88317        -28.17816      
111       3114      5551      0.19435        104.54267      0.88296        -28.22031      
112       3287      5551      0.18583        95.95995       0.88261        -28.26054      
113       3460      5551      0.17677        86.96399       0.88211        -28.29726      
114       3633      5551      0.16661        77.69535       0.88147        -28.32599      
115       3806      5551      0.15619        67.87878       0.88072        -28.34522      
116       3979      5551      0.1452         57.34914       0.8799         -28.35191      
117       4152      5551      0.13458        46.03555       0.87908        -28.34558      
118       4325      5551      0.12463        33.79984       0.87832        -28.32665      
119       4498      5551      0.11555        20.19112       0.87765        -28.29602      
120       4671      5551      0.10875        5.47338        0.87712        -28.25796      
121       4844      5551      0.1041         -10.51548      0.87676        -28.21393      
122       5017      5551      0.1026         -26.98861      0.87656        -28.16848      
123       5190      5551      0.10432        -43.43577      0.87651        -28.1237       
124       5363      5551      0.10889        -59.16102      0.87659        -28.08169      
125       5536      5551      0.11602        -73.8725       0.87678        -28.04333      
126       5709      5551      0.12493        -87.40084      0.87705        -28.00957      
127       5882      5551      0.13495        -99.70179      0.87739        -27.98099      
128       0         5680      0.17806        -95.23335      0.87684        -27.9425       
129       147       5680      0.18619        -105.00001     0.87728        -27.92025      
130       294       5680      0.19495        -114.26839     0.87773        -27.90218      
131       441       5680      0.20358        -123.20597     0.8782         -27.88845      
132       588       5680      0.21239        -131.65852     0.87867        -27.87835      
133       735       5680      0.22035        -139.90839     0.87915        -27.87245      
134       882       5680      0.22818        -147.85895     0.87962        -27.86969      
135       1029      5680      0.23478        -155.65435     0.88009        -27.87093      
136       1176      5680      0.24062        -163.24516     0.88055        -27.87543      
137       1323      5680      0.24643        -170.68268     0.88101        -27.88246      
138       1470      5680      0.25049        -178.01077     0.88145        -27.89348      
139       1617      5680      0.25423        174.71782      0.88188        -27.90734      
140       1764      5680      0.25642        167.52803      0.88229        -27.92498      
141       1911      5680      0.25797        160.3606       0.88268        -27.94587      
142       2058      5680      0.25858        153.18647      0.88305        -27.97042      
143       2205      5680      0.25814        146.04113      0.88338        -27.99865      
144       2352      5680      0.2566         138.9017       0.88366        -28.03064      
145       2499      5680      0.25396        131.73841      0.88388        -28.06642      
146       2646      5680      0.25048        124.51347      0.88403        -28.10581      
147       2793      5680      0.24622        117.18934      0.8841         -28.14861      
