The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
103       1730      5551      0.15973        -10.99226      0.86994        -29.60911      
104       1903      5551      0.15967        -22.68483      0.86977        -29.55376      
105       2076      5551      0.15974        -34.33765      0.86979        -29.50063      
106       2249      5551      0.16013        -45.92384      0.86997        -29.45222      
107       2422      5551      0.16091        -57.42489      0.87027        -29.40978      
108       2595      5551      0.16219        -68.83723      0.87065        -29.37368      
109       2768      5551      0.16362        -80.12657      0.87109        -29.34426      
110       2941      5551      0.16491        -91.36881      0.87159        -29.32148      
111       3114      5551      0.16659        -102.43672     0.8721         -29.30461      
112       3287      5551      0.16784        -113.4546      0.87263        -29.29393      
113       3460      5551      0.16939        -124.45437     0.87317        -29.28829      
114       3633      5551      0.17085        -135.28216     0.87371        -29.28783      
115       3806      5551      0.17218        -146.0292      0.87423        -29.29224      
116       3979      5551      0.17335        -156.68578     0.87473        -29.30137      
117       4152      5551      0.1739         -167.30389     0.87521        -29.31553      
118       4325      5551      0.17426        -177.84512     0.87566        -29.33417      
119       4498      5551      0.17437        171.61421      0.87608        -29.35743      
120       4671      5551      0.17452        161.06362      0.87645        -29.38512      
121       4844      5551      0.1738         150.48894      0.87676        -29.41788      
122       5017      5551      0.17317        139.84231      0.877          -29.45506      
123       5190      5551      0.17219        129.18189      0.87714        -29.49632      
124       5363      5551      0.17101        118.48405      0.87717        -29.54094      
125       5536      5551      0.1696         107.58283      0.87707        -29.58838      
126       5709      5551      0.16791        96.68747       0.8768         -29.63571      
127       5882      5551      0.16615        85.53832       0.87635        -29.68135      
128       0         5680      0.21586        101.89341      0.87806        -29.63263      
129       147       5680      0.21413        92.49733       0.87774        -29.68742      
130       294       5680      0.21259        83.08582       0.87725        -29.74058      
131       441       5680      0.2109         73.53086       0.87655        -29.78922      
132       588       5680      0.20956        63.94813       0.87568        -29.82931      
133       735       5680      0.20787        54.40202       0.87464        -29.8555       
134       882       5680      0.2067         44.77695       0.87351        -29.86639      
135       1029      5680      0.20483        35.04604       0.87235        -29.85716      
136       1176      5680      0.20367        25.32962       0.87127        -29.83111      
137       1323      5680      0.2029         15.58598       0.87032        -29.78979      
138       1470      5680      0.2019         5.85723        0.86959        -29.73633      
139       1617      5680      0.2014         -4.00477       0.86907        -29.67566      
140       1764      5680      0.20094        -13.7807       0.86878        -29.61301      
141       1911      5680      0.2006         -23.5667       0.8687         -29.55166      
142       2058      5680      0.20095        -33.39806      0.86879        -29.49391      
