The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_l        angle          gamma_out      angle          
103       3470      6860      0.14229        -53.56911      0.92762        -33.31276      
104       3817      6860      0.12514        -80.79182      0.92865        -33.25599      
105       4164      6860      0.11601        -111.94317     0.92982        -33.2248       
106       4511      6860      0.11827        -144.38709     0.93101        -33.21664      
107       4858      6860      0.13095        -174.21367     0.93217        -33.2294       
108       5205      6860      0.1503         160.06826      0.93324        -33.26163      
109       5552      6860      0.1714         137.77233      0.93415        -33.31404      
110       5899      6860      0.19124        117.76405      0.93481        -33.38697      
111       6246      6860      0.20752        99.33963       0.93505        -33.47791      
112       6593      6860      0.21883        81.79329       0.93467        -33.57928      
113       6940      6860      0.2244         64.6656        0.9335         -33.6722       
114       7287      6860      0.22377        47.58995       0.93158        -33.72598      
115       7634      6860      0.21707        30.31072       0.92938        -33.71339      
116       7981      6860      0.20479        12.48095       0.92762        -33.63553      
117       8328      6860      0.1879         -6.37211       0.92675        -33.52322      
118       8675      6860      0.16782        -26.91644      0.92679        -33.41173      
119       9022      6860      0.14721        -49.93371      0.92744        -33.32246      
120       9369      6860      0.12938        -76.57016      0.92845        -33.26079      
121       9716      6860      0.11859        -107.04408     0.92962        -33.22594      
122       10063     6860      0.11892        -139.42525     0.93083        -33.21453      
123       10410     6860      0.13054        -169.82201     0.93201        -33.22408      
124       10757     6860      0.14925        163.75361      0.93311        -33.25387      
125       11104     6860      0.17033        140.92833      0.93407        -33.30399      
126       11451     6860      0.19053        120.65517      0.93478        -33.37446      
127       11798     6860      0.20757        101.85904      0.9351         -33.46481      
128       0         7001      0.21224        136.60692      0.93492        -33.30091      
129       295       7001      0.22921        119.31611      0.9356         -33.37432      
130       590       7001      0.24357        102.86914      0.93596        -33.46663      
131       885       7001      0.25417        87.16904       0.9358         -33.57297      
132       1180      7001      0.26096        71.76212       0.93494        -33.68343      
133       1475      7001      0.26332        56.61828       0.93325        -33.77366      
134       1770      7001      0.26104        41.38311       0.93089        -33.81303      
135       2065      7001      0.25445        25.96893       0.92843        -33.78027      
136       2360      7001      0.2435         10.08728       0.92655        -33.68312      
137       2655      7001      0.22953        -6.44831       0.92563        -33.55644      
138       2950      7001      0.21339        -23.9566       0.92561        -33.43302      
139       3245      7001      0.19621        -42.77127      0.92622        -33.33151      
140       3540      7001      0.17969        -63.42426      0.92718        -33.25666      
141       3835      7001      0.16684        -86.06798      0.92832        -33.20696      
142       4130      7001      0.15957        -110.5058      0.92952        -33.17909      
143       4425      7001      0.15953        -135.73762     0.93072        -33.17013      
144       4720      7001      0.16733        -160.1807      0.93189        -33.17741      
145       5015      7001      0.18086        177.24004      0.933          -33.20027      
146       5310      7001      0.19752        156.62578      0.93403        -33.23916      
147       5605      7001      0.21545        137.80361      0.93494        -33.29463      
148       5900      7001      0.2322         120.26573      0.93565        -33.36884      
149       6195      7001      0.2465         103.8007       0.93603        -33.46127      
150       6490      7001      0.25763        87.99013       0.93592        -33.5694       
151       6785      7001      0.2646         72.53903       0.93509        -33.68265      
152       7080      7001      0.26687        57.26007       0.9334         -33.77711      
153       7375      7001      0.26454        41.91464       0.93099        -33.82026      
154       7670      7001      0.25787        26.34057       0.92845        -33.78875      
155       7965      7001      0.24695        10.42673       0.92651        -33.69055      
156       8260      7001      0.23268        -6.21964       0.92556        -33.56052      
157       8555      7001      0.21597        -23.875        0.92554        -33.4338       
158       8850      7001      0.19865        -42.81949      0.92616        -33.33029      
159       9145      7001      0.18232        -63.49         0.92714        -33.25449      
160       9440      7001      0.16931        -86.13167      0.92829        -33.20447      
161       9735      7001      0.16185        -110.54871     0.92951        -33.17665      
162       10030     7001      0.16182        -135.67561     0.93072        -33.16773      
163       10325     7001      0.16951        -160.10523     0.9319         -33.17524      
164       10620     7001      0.18304        177.17049      0.93303        -33.19861      
165       10915     7001      0.19992        156.49997      0.93407        -33.23795      
166       11210     7001      0.21793        137.58707      0.93499        -33.29435      
167       11505     7001      0.23479        120.11481      0.93571        -33.36905      
168       11800     7001      0.24931        103.57262      0.9361         -33.46302      
169       0         7121      0.25305        138.60092      0.93555        -33.2728       
170       251       7121      0.2675         123.46278      0.93629        -33.34183      
171       502       7121      0.28022        108.93539      0.93682        -33.4282       
172       753       7121      0.29094        94.90092       0.93699        -33.53179      
173       1004      7121      0.2985         81.15181       0.93663        -33.6492       
174       1255      7121      0.30304        67.66244       0.93553        -33.76778      
175       1506      7121      0.30445        54.25019       0.93358        -33.86514      
176       1757      7121      0.30236        40.7991        0.93094        -33.90978      
177       2008      7121      0.29712        27.20774       0.92814        -33.87992      
178       2259      7121      0.28868        13.30408       0.92588        -33.78021      
179       2510      7121      0.27775        -0.89546       0.92459        -33.64364      
180       2761      7121      0.26489        -15.68388      0.92426        -33.50359      
181       3012      7121      0.25085        -31.20564      0.92465        -33.38186      
182       3263      7121      0.23643        -47.50632      0.92548        -33.28705      
183       3514      7121      0.2232         -64.88868      0.92653        -33.21744      
184       3765      7121      0.21215        -83.40553      0.92769        -33.17002      
185       4016      7121      0.20471        -102.87043     0.92887        -33.14118      
186       4267      7121      0.20177        -123.04808     0.93004        -33.12789      
187       4518      7121      0.20458        -143.15862     0.93118        -33.1274       
188       4769      7121      0.21213        -162.62889     0.93229        -33.13895      
